rule_id,provider,service,category,rule_type,complexity,severity,controls_unlocked,frameworks_unlocked,framework_sample,check_type,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,title,description,frameworks,compliance_ids,source_file
alicloud.oss.bucket.versioning_enabled,alicloud,oss,bucket,config,L1_API_BOOLEAN,MEDIUM,48,12,CANADA_PBMM;CIS_AWS;CIS_AZURE;FedRAMP_Moderate;HIPAA,config,,,,,,Check Alibaba Cloud OSS bucket has versioning enabled for backup capability.,Check Alibaba Cloud OSS bucket has versioning enabled for backup capability.,CANADA_PBMM,CANADA_PBMM/CP-9(7),alicloud_rule_config/oss/alicloud.oss.bucket.versioning_enabled.yaml
azure.keyvault.vault.access_policy_configured,azure,keyvault,vault,config,L2_API_CONFIG,MEDIUM,48,8,CANADA_PBMM;CIS_ALICLOUD;CIS_GCP;CIS_IBM;CIS_K8S,config,,,,,,Check that Azure Key Vault has access policies or RBAC assignments restricting key management and usage.,Check that Azure Key Vault has access policies or RBAC assignments restricting key management and usage.,CANADA_PBMM,CANADA_PBMM/SC-12(1),azure_rule_config/keyvault/azure.keyvault.vault.access_policy_configured.yaml
gcp.securitycenter.scanner.enabled,gcp,securitycenter,scanner,config,L2_API_CONFIG,MEDIUM,48,3,FedRAMP_Moderate;NIST_800_171;NIST_800_53,config,,,,,,PARTIAL: gcp.securitycenter.scanner.enabled ||| verifies security scanning for Cloud Storage but not specific diagnostic media,PARTIAL: gcp.securitycenter.scanner.enabled ||| verifies security scanning for Cloud Storage but not specific diagnostic media,NIST_800_171,NIST_800_171/3.7.4,gcp_rule_config/securitycenter/gcp.securitycenter.scanner.enabled.yaml
azure.apimanagement.api.client_certificate_enabled,azure,apimanagement,api,config,L1_API_BOOLEAN,MEDIUM,46,5,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53;RBI_BANK;RBI_NBFC,config,,,,,,Access Control Decisions - Access control decisions | transmit access authorizat,Access Control Decisions - Access control decisions | transmit access authorizat,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,canada_pbmm_moderate_CCCS_CA_9;canada_pbmm_moderate_CCCS_SC_13;fedramp_moderate_CA_9;fedramp_moderate_SC_13;nist_800_53_rev5_AC_17_2;...(+43 more),azure_rule_config/apimanagement/azure.apimanagement.api.client_certificate_enabled.yaml
ibm.api.connect.restapi_client_certificate_enabled,ibm,api,connect,config,L1_API_BOOLEAN,MEDIUM,46,5,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53;RBI_BANK;RBI_NBFC,config,,,,,,Access Control Decisions - Access control decisions | transmit access authorizat,Access Control Decisions - Access control decisions | transmit access authorizat,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,canada_pbmm_moderate_CCCS_CA_9;canada_pbmm_moderate_CCCS_SC_13;fedramp_moderate_CA_9;fedramp_moderate_SC_13;nist_800_53_rev5_AC_17_2;...(+43 more),ibm_rule_config/api/ibm.api.connect.restapi_client_certificate_enabled.yaml
ibm.cloud_databases.service.domains_node_to_node_encryption_enabled,ibm,cloud_databases,service,config,L1_API_BOOLEAN,HIGH,46,4,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53;PCI_DSS,config,,,,,,Access Control Decisions - Access control decisions | transmit access authorizat,Access Control Decisions - Access control decisions | transmit access authorizat,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53;PCI_DSS,canada_pbmm_moderate_CCCS_CA_9;canada_pbmm_moderate_CCCS_SC_13;fedramp_moderate_CA_9;fedramp_moderate_SC_13;nist_800_53_rev5_AC_24_1;...(+48 more),ibm_rule_config/cloud_databases/ibm.cloud_databases.service.domains_node_to_node_encryption_enabled.yaml
ibm.iam.no.root_access_key_configured,ibm,iam,no,config,L2_API_CONFIG,HIGH,46,9,CANADA_PBMM;CIS_OCI;FedRAMP_Moderate;GDPR;HIPAA,config,,,,,,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022;NIST_800_171;NIST_800_53;RBI_BANK,canada_pbmm_moderate_CCCS_IA_4;fedramp_moderate_IA_4;fedramp_moderate_IA_4_4;gdpr_article_25;hipaa_164_308_a_1_ii_b;...(+40 more),ibm_rule_config/iam/ibm.iam.no.root_access_key_configured.yaml
oci.cloudguard.detector_recipe.enabled,oracle,cloudguard,detector_recipe,config,L2_API_CONFIG,MEDIUM,46,2,FedRAMP_Moderate;NIST_800_53,config,,,,,,(refined),(refined),CIS,CIS/8.1.16,oracle_rule_config/cloudguard/oci.cloudguard.detector_recipe.enabled.yaml
ibm.iam.password.policy_expires_passwords_within_90_days_or_less_configured,ibm,iam,password,config,L2_API_CONFIG,MEDIUM,45,6,CIS_OCI;FedRAMP_Moderate;ISO27001_2022;NIST_800_171;NIST_800_53,config,,,,,,3_5_5: 3.5.5 Prevent reuse of identifiers for a defined period,3_5_5: 3.5.5 Prevent reuse of identifiers for a defined period,ISO27001_2022;NIST_800_171,iso27001_2022_A.5.15;iso27001_2022_A.9.2;iso27001_2022_A.9.3;iso27001_2022_A.9.4;nist_800_171_r2_3_5_5;...(+3 more),ibm_rule_config/iam/ibm.iam.password.policy_expires_passwords_within_90_days_or_less_configured.yaml
ibm.iam.password.policy_symbol_configured,ibm,iam,password,config,L2_API_CONFIG,MEDIUM,45,9,CANADA_PBMM;CISA_CE;FedRAMP_Moderate;GDPR;HIPAA,config,,,,,,164_308_a_5_ii_d: 164.308(a)(5)(ii)(D) Password management,164_308_a_5_ii_d: 164.308(a)(5)(ii)(D) Password management,GDPR;HIPAA;ISO27001_2022;NIST_800_171,gdpr_article_25;hipaa_164_308_a_5_ii_d;iso27001_2022_A.5.15;iso27001_2022_A.9.2;iso27001_2022_A.9.3;...(+2 more),ibm_rule_config/iam/ibm.iam.password.policy_symbol_configured.yaml
alicloud.ram.password.policy_lowercase_check,alicloud,ram,password,config,L2_API_CONFIG,MEDIUM,41,6,CIS_ALICLOUD;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022,config,,,,,,Ensure RAM password policy requires at least one lowercase  letter,Ensure RAM password policy requires at least one lowercase  letter,CIS_ALICLOUD,CIS_ALICLOUD/1.8,alicloud_rule_config/ram/alicloud.ram.password.policy_lowercase_check.yaml
alicloud.ram.password.policy_require_numbers_check,alicloud,ram,password,config,L2_API_CONFIG,MEDIUM,41,6,CIS_ALICLOUD;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022,config,,,,,,Ensure RAM password policy require at least one number,Ensure RAM password policy require at least one number,CIS_ALICLOUD,CIS_ALICLOUD/1.10,alicloud_rule_config/ram/alicloud.ram.password.policy_require_numbers_check.yaml
alicloud.ram.password.policy_require_uppercase_configured,alicloud,ram,password,config,L2_API_CONFIG,MEDIUM,41,6,CIS_ALICLOUD;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022,config,,,,,,Ensure RAM password policy requires at least one uppercase  letter,Ensure RAM password policy requires at least one uppercase  letter,CIS_ALICLOUD,CIS_ALICLOUD/1.7,alicloud_rule_config/ram/alicloud.ram.password.policy_require_uppercase_configured.yaml
ibm.api.connect.restapi_logging_enabled,ibm,api,connect,config,L1_API_BOOLEAN,MEDIUM,38,4,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53;PCI_DSS,config,,,,,,Audit Record Generation,Audit Record Generation,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53;PCI_DSS,canada_pbmm_moderate_CCCS_AU_12;canada_pbmm_moderate_CCCS_AU_2;canada_pbmm_moderate_CCCS_AU_3;canada_pbmm_moderate_CCCS_AU_8;canada_pbmm_moderate_CCCS_CA_7;...(+45 more),ibm_rule_config/api/ibm.api.connect.restapi_logging_enabled.yaml
azure.entra.user.unused_credentials_configured,azure,entra,user,config,L2_API_CONFIG,MEDIUM,37,8,CANADA_PBMM;CISA_CE;CIS_ALICLOUD;CIS_OCI;FedRAMP_Moderate,config,,,,,,Access Control,Access Control,CISA_CE;RBI_BANK;RBI_NBFC,cisa_ce_v1_Your_Surroundings_4;cisa_ce_v1_Your_Systems_2;rbi_bank_9.3;rbi_nbfc_2.5,azure_rule_config/entra/azure.entra.user.unused_credentials_configured.yaml
alicloud.ram.password.policy_require_symbols_configured,alicloud,ram,password,config,L2_API_CONFIG,MEDIUM,35,3,CIS_ALICLOUD;FedRAMP_Moderate;NIST_800_53,config,,,,,,Ensure RAM password policy require at least one symbol,Ensure RAM password policy require at least one symbol,CIS_ALICLOUD,CIS_ALICLOUD/1.9,alicloud_rule_config/ram/alicloud.ram.password.policy_require_symbols_configured.yaml
gcp.loadbalancing.logging_enabled,gcp,loadbalancing,logging_enabled,config,L1_API_BOOLEAN,MEDIUM,34,4,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53;PCI_DSS,config,,,,,,Audit Record Generation,Audit Record Generation,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53;PCI_DSS,canada_pbmm_moderate_CCCS_AU_12;canada_pbmm_moderate_CCCS_AU_2;canada_pbmm_moderate_CCCS_AU_3;canada_pbmm_moderate_CCCS_AU_8;fedramp_moderate_AU_12;...(+30 more),gcp_rule_config/loadbalancing/gcp.loadbalancing.logging_enabled.yaml
alicloud.ram.policy.attached_only_to_group_or_roles_configured,alicloud,ram,policy,config,L2_API_CONFIG,MEDIUM,34,6,CANADA_PBMM;FedRAMP_Moderate;ISO27001_2022;NIST_800_171;NIST_800_53,config,,,,,,3_4_6: 3.4.6 Employ the principle of least functionality by configuring organiza,3_4_6: 3.4.6 Employ the principle of least functionality by configuring organiza,CANADA_PBMM;FedRAMP_Moderate;ISO27001_2022;NIST_800_171;NIST_800_53;SOC2,canada_pbmm_moderate_CCCS_CM_9;fedramp_moderate_CM_9;iso27001_2022_A.5.15;iso27001_2022_A.9.2;iso27001_2022_A.9.4;...(+29 more),alicloud_rule_config/ram/alicloud.ram.policy.attached_only_to_group_or_roles_configured.yaml
gcp.cloudfunctions.function.not_publicly_accessible_enforced,gcp,cloudfunctions,function,config,L2_API_CONFIG,HIGH,34,3,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,config,,,,,,Boundary Protection,Boundary Protection,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,canada_pbmm_moderate_CCCS_AC_17;canada_pbmm_moderate_CCCS_SC_7;fedramp_moderate_AC_17;fedramp_moderate_AC_17_1;fedramp_moderate_AC_17_2;...(+29 more),gcp_rule_config/cloudfunctions/gcp.cloudfunctions.function.not_publicly_accessible_enforced.yaml
ibm.functions.function.not_publicly_accessible_enforced,ibm,functions,function,config,L2_API_CONFIG,HIGH,34,3,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,config,,,,,,Boundary Protection,Boundary Protection,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,canada_pbmm_moderate_CCCS_AC_17;canada_pbmm_moderate_CCCS_SC_7;fedramp_moderate_AC_17;fedramp_moderate_AC_17_1;fedramp_moderate_AC_17_2;...(+29 more),ibm_rule_config/functions/ibm.functions.function.not_publicly_accessible_enforced.yaml
ibm.security_advisor.enabled,ibm,security_advisor,enabled,config,L2_API_CONFIG,MEDIUM,34,8,CANADA_PBMM;CISA_CE;FedRAMP_Moderate;HIPAA;NIST_800_171,config,,,,,,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,CANADA_PBMM;CISA_CE;FedRAMP_Moderate;HIPAA;NIST_800_171;NIST_800_53;RBI_BANK;RBI_NBFC,canada_pbmm_moderate_CCCS_CA_2;canada_pbmm_moderate_CCCS_CA_7;cisa_ce_v1_Your_Data_1;cisa_ce_v1_Your_Data_3;fedramp_moderate_CA_2;...(+47 more),ibm_rule_config/security_advisor/ibm.security_advisor.enabled.yaml
ibm.vpc.instance.compliance_managed_configured,ibm,vpc,instance,config,L2_API_CONFIG,MEDIUM,31,3,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,config,,,,,,Baseline Configuration,Baseline Configuration,CANADA_PBMM;CISA_CE;FedRAMP_Moderate;HIPAA;ISO27001_2022;NIST_800_53,canada_pbmm_moderate_CCCS_CM_2;canada_pbmm_moderate_CCCS_CM_6;canada_pbmm_moderate_CCCS_CM_8;fedramp_moderate_CM_2;fedramp_moderate_CM_2_2;...(+26 more),ibm_rule_config/vpc/ibm.vpc.instance.compliance_managed_configured.yaml
alicloud.ram.user.console_access_unused_disabled,alicloud,ram,user,config,L1_API_BOOLEAN,MEDIUM,30,8,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022,config,,,,,,164_308_a_3_ii_b: 164.308(a)(3)(ii)(B) Workforce clearance procedure,164_308_a_3_ii_b: 164.308(a)(3)(ii)(B) Workforce clearance procedure,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022;NIST_800_171;NIST_800_53;PCI_DSS;SOC2,canada_pbmm_moderate_CCCS_AC_2;fedramp_moderate_AC_2;fedramp_moderate_AC_2_1;fedramp_moderate_AC_2_11;fedramp_moderate_AC_2_12;...(+27 more),alicloud_rule_config/ram/alicloud.ram.user.console_access_unused_disabled.yaml
gcp.loadbalancing.deletion_protection_enabled,gcp,loadbalancing,deletion_protection_enabled,config,L1_API_BOOLEAN,MEDIUM,30,3,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,config,,,,,,Architecture And Provisioning For Name/Address Resolution Service,Architecture And Provisioning For Name/Address Resolution Service,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,canada_pbmm_moderate_CCCS_CM_2;canada_pbmm_moderate_CCCS_CM_3;canada_pbmm_moderate_CCCS_CP_2;canada_pbmm_moderate_CCCS_SC_22;fedramp_moderate_CM_2;...(+25 more),gcp_rule_config/loadbalancing/gcp.loadbalancing.deletion_protection_enabled.yaml
ibm.load.balancer.deletion_protection_enabled,ibm,load,balancer,config,L1_API_BOOLEAN,MEDIUM,30,3,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,config,,,,,,Architecture And Provisioning For Name/Address Resolution Service,Architecture And Provisioning For Name/Address Resolution Service,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,canada_pbmm_moderate_CCCS_CM_2;canada_pbmm_moderate_CCCS_CM_3;canada_pbmm_moderate_CCCS_CP_2;canada_pbmm_moderate_CCCS_SC_22;fedramp_moderate_CM_2;...(+25 more),ibm_rule_config/load/ibm.load.balancer.deletion_protection_enabled.yaml
gcp.sql.multi.az_enabled,gcp,sql,multi,config,L1_API_BOOLEAN,MEDIUM,29,5,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53;RBI_BANK;RBI_NBFC,config,,,,,,Disaster Recovery,Disaster Recovery,RBI_BANK;RBI_NBFC,rbi_bank_6.2;rbi_nbfc_5.3,gcp_rule_config/sql/gcp.sql.multi.az_enabled.yaml
oci.opensearch.service.domains_encryption_at_rest_enabled,oracle,opensearch,service,config,L1_API_BOOLEAN,HIGH,29,8,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022,config,,,,,,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022;NIST_800_171;NIST_800_53;PCI_DSS,canada_pbmm_moderate_CCCS_CP_9;canada_pbmm_moderate_CCCS_SC_13;fedramp_moderate_CP_9;fedramp_moderate_CP_9_1;fedramp_moderate_CP_9_2;...(+26 more),oracle_rule_config/opensearch/oci.opensearch.service.domains_encryption_at_rest_enabled.yaml
ibm.monitoring.log.group_kms_encryption_enabled,ibm,monitoring,log,config,L1_API_BOOLEAN,HIGH,28,7,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;NIST_800_171,config,,,,,,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;NIST_800_171;NIST_800_53;PCI_DSS,canada_pbmm_moderate_CCCS_CP_9;canada_pbmm_moderate_CCCS_SC_13;fedramp_moderate_CP_9;fedramp_moderate_CP_9_1;fedramp_moderate_CP_9_2;...(+25 more),ibm_rule_config/monitoring/ibm.monitoring.log.group_kms_encryption_enabled.yaml
