yaml_rule_id,yaml_service,yaml_resource_kind,domain,severity,scope,assertion_id,ai_match_rule_id,ai_confidence,ai_reasoning,csv_service,csv_category,csv_provider_service,aws_mapped_compliance_functions,aws_mapped_compliance_ids,top_candidate_pool,review_decision
aws.apigateway.restapi.authn_required,apigateway,restapi,configuration_and_change_management,medium,apigateway.restapi.configuration,security.configuration.apigateway_restapi_authn_required,aws.api_gateway.rest_api.authn_required,high,Candidate rule ID matches the same technical control (authentication required) for the same resource (API Gateway REST API) with identical wording.,api_gateway,platform,"boto3.client(""api_gateway"")",,,aws.api_gateway.rest_api.authn_required(0.4); aws.api_gateway.v2_api.authn_required(0.4); aws.apigateway.restapi_public(0.25); aws.apigateway.restapi_public:nan(0.25); aws.apigateway.restapi_cache_encrypted(0.2),
aws.apigateway.restapi.authz_policies_enforced,apigateway,restapi,configuration_and_change_management,medium,apigateway.restapi.configuration,security.configuration.apigateway_restapi_authz_policies_enforced,aws.api_gateway.rest_api.authz_policies_enforced,high,Candidate rule ID matches the same technical control (authorization policies enforced) on the same resource (API Gateway REST API) with only minor naming variations.,api_gateway,platform,"boto3.client(""api_gateway"")",,,aws.api_gateway.rest_api.authz_policies_enforced(0.5); aws.api_gateway.v2_api.authz_policies_enforced(0.5); aws.apigateway.restapi_public(0.2); aws.apigateway.restapi_public:nan(0.2); aws.apigateway.restapi_cache_encrypted(0.167),
aws.apigateway.restapi.private_networking_enforced,apigateway,restapi,network_security_and_connectivity,high,apigateway.restapi.network,network_security.network_access.apigateway_restapi_private_networking_enforced,aws.api_gateway.rest_api.private_networking_enforced,high,The candidate rule directly matches the same technical control for enforcing private networking on API Gateway REST APIs.,api_gateway,platform,"boto3.client(""api_gateway"")",,,aws.api_gateway.rest_api.private_networking_enforced(0.5); aws.api_gateway.v2_api.private_networking_enforced(0.5); aws.apigateway.restapi_public(0.2); aws.apigateway.restapi_public:nan(0.2); aws.apigateway.restapi_cache_encrypted(0.167),
aws.apigateway.stage.api_access_log_fields_identity_configured,apigateway,stage,logging_monitoring_and_alerting,medium,apigateway.stage.logging,logging_monitoring.logging.apigateway_stage_api_access_log_fields_identity_configured,aws.api_gateway.stage.api_access_log_fields_identity_present,high,"Both rules check for identity fields in API Gateway stage access logs, with identical service and resource scope.",api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gateway.stage.api_access_log_fields_identity_present(0.857); aws.api_gatewayv2.stage.api_access_log_fields_identity_present(0.857); aws.api_gateway.stage.api_access_logging_enabled(0.571); aws.api_gateway.stage.api_access_log_sink_configured(0.571); aws.api_gatewayv2.stage.api_access_logging_enabled(0.571),
aws.apigateway.stage.api_access_log_sink_configured,apigateway,stage,logging_monitoring_and_alerting,medium,apigateway.stage.logging,logging_monitoring.logging.apigateway_stage_api_access_log_sink_configured,aws.api_gateway.stage.api_access_log_sink_configured,high,"Candidate rule ID is identical in meaning and service to the config rule, differing only in naming convention (underscore vs dot).",api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gateway.stage.api_access_log_sink_configured(1.0); aws.api_gatewayv2.stage.api_access_log_sink_configured(1.0); aws.api_gateway.stage.api_access_logging_enabled(0.667); aws.api_gatewayv2.stage.api_access_logging_enabled(0.667); aws.api_gateway.stage.api_access_log_fields_identity_present(0.5),
aws.apigateway.stage.api_access_logging_enabled,apigateway,stage,application_and_api_security,high,apigateway.stage.monitoring,api_security.monitoring.api_logging_enabled,aws.api_gateway.stage.api_access_logging_enabled,high,"Candidate rule ID is identical in meaning and service to the config rule, both checking API Gateway stage access logging.",api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gateway.stage.api_access_logging_enabled(1.0); aws.api_gatewayv2.stage.api_access_logging_enabled(1.0); aws.apigatewayv2.api_access_logging_enabled(0.8); aws.api_gateway.stage.api_access_log_sink_configured(0.667); aws.api_gatewayv2.stage.api_access_log_sink_configured(0.667),
aws.apigateway.stage.throttling_enabled,apigateway,stage,configuration_and_change_management,medium,apigateway.stage.configuration,security.configuration.apigateway_stage_throttling_enabled,aws.api_gateway.stage.throttling_enabled,high,"Candidate rule ID is identical to the config rule ID, indicating an exact match for throttling control on API Gateway stages.",api_gateway,platform,"boto3.client(""api_gateway"")",,,aws.api_gateway.stage.throttling_enabled(1.0); aws.api_gateway.stage.logging_enabled(0.5); aws.api_gateway.stage.api_access_logging_enabled(0.333); aws.api_gatewayv2.stage.api_access_logging_enabled(0.333); aws.apigateway.authorization_enabled(0.25),
aws.apigateway.stage.usage_plan_for_api_keys_required,apigateway,stage,configuration_and_change_management,medium,apigateway.stage.configuration,security.configuration.apigateway_stage_usage_plan_for_api_keys_required,aws.api_gateway.stage.require_usage_plan_for_api_keys,high,The candidate rule directly matches the same technical control requiring usage plans for API keys on API Gateway stages.,api_gateway,platform,"boto3.client(""api_gateway"")",,,aws.api_gateway.stage.require_usage_plan_for_api_keys(1.0); aws.api_gatewayv2.stage.api_usage_plan_required_for_api_keys(1.0); aws.api_gateway.usage_plan.api_usage_plan_required_for_api_keys(0.857); aws.api_gateway.throttle.api_usage_plan_required_for_api_keys(0.75); aws.api_gateway.usage_plan.api_stage_burst_limit_configured(0.444),
aws.apigateway.throttle.api_quota_limit_configured,apigateway,throttle,configuration_and_change_management,medium,apigateway.throttle.configuration,security.configuration.apigateway_throttle_api_quota_limit_configured,aws.api_gateway.throttle.api_quota_limit_configured,high,"Candidate rule ID is identical to the YAML rule ID except for service name formatting (apigateway vs api_gateway), indicating the same technical control on API Gateway throttle quota limits.",api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gateway.throttle.api_quota_limit_configured(1.0); aws.api_gatewayv2.stage.api_quota_limit_configured(0.6); aws.api_gateway.throttle.api_stage_burst_limit_configured(0.5); aws.api_gateway.throttle.api_stage_rate_limit_configured(0.5); aws.api_gateway.usage_plan.api_quota_limit_configured(0.5),
aws.apigateway.throttle.api_stage_burst_limit_configured,apigateway,throttle,application_and_api_security,medium,apigateway.throttle.rate_limiting,api_security.rate_limiting.api_throttling_enabled,aws.api_gateway.throttle.api_stage_burst_limit_configured,high,"Candidate rule ID is identical to the config rule ID, indicating an exact match for the same technical control on API Gateway throttling burst limits.",api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gateway.throttle.api_stage_burst_limit_configured(1.0); aws.api_gatewayv2.stage.api_stage_burst_limit_configured(0.8); aws.api_gateway.throttle.api_stage_rate_limit_configured(0.667); aws.api_gateway.usage_plan.api_stage_burst_limit_configured(0.571); aws.api_gateway.throttle.api_quota_limit_configured(0.5),
aws.apigateway.throttle.api_stage_overrides_bounded,apigateway,throttle,configuration_and_change_management,medium,apigateway.throttle.configuration,security.configuration.apigateway_throttle_api_stage_overrides_bounded,aws.api_gateway.throttle.api_stage_throttle_overrides_not_unbounded,high,"Both rules check that API Gateway stage throttle overrides are bounded/not unbounded, covering the same technical control on the same resource.",api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gateway.throttle.api_stage_throttle_overrides_not_unbounded(0.571); aws.api_gatewayv2.stage.api_stage_throttle_overrides_not_unbounded(0.571); aws.api_gateway.usage_plan.api_stage_throttle_overrides_not_unbounded(0.444); aws.api_gateway.throttle.api_stage_burst_limit_configured(0.429); aws.api_gateway.throttle.api_stage_rate_limit_configured(0.429),
aws.apigateway.throttle.api_stage_rate_limit_configured,apigateway,throttle,configuration_and_change_management,medium,apigateway.throttle.configuration,security.configuration.apigateway_throttle_api_stage_rate_limit_configured,aws.api_gateway.throttle.api_stage_rate_limit_configured,high,"Candidate rule ID is identical to the YAML rule ID except for service name formatting (apigateway vs api_gateway), indicating the same technical control on the same resource.",api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gateway.throttle.api_stage_rate_limit_configured(1.0); aws.api_gatewayv2.stage.api_stage_rate_limit_configured(0.8); aws.api_gateway.throttle.api_stage_burst_limit_configured(0.667); aws.api_gateway.usage_plan.api_stage_rate_limit_configured(0.571); aws.api_gateway.throttle.api_quota_limit_configured(0.5),
aws.apigateway.throttle.api_usage_plan_for_keys_required,apigateway,throttle,configuration_and_change_management,medium,apigateway.throttle.configuration,security.configuration.apigateway_throttle_api_usage_plan_for_keys_required,aws.api_gateway.throttle.api_usage_plan_required_for_api_keys,high,"The candidate rule asserts the same technical control requiring API keys to have a usage plan for throttling, matching the YAML rule's intent and resource focus.",api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gateway.throttle.api_usage_plan_required_for_api_keys(1.0); aws.api_gateway.usage_plan.api_usage_plan_required_for_api_keys(0.857); aws.api_gateway.stage.require_usage_plan_for_api_keys(0.75); aws.api_gatewayv2.stage.api_usage_plan_required_for_api_keys(0.75); aws.api_gateway.api_key.expiration_required(0.375),
aws.apigateway.usageplan.api_keys_required,apigateway,usageplan,configuration_and_change_management,medium,apigateway.usageplan.configuration,security.configuration.apigateway_usageplan_api_keys_required,aws.api_gateway.usage_plan.api_usage_plan_required_for_api_keys,medium,"Both rules focus on requiring API keys in usage plans, though the candidate specifies 'required_for_api_keys' while the input asserts 'api_keys_required' with slightly different wording.",api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gateway.api_key.expiration_required(0.6); aws.api_gateway.usage_plan.api_usage_plan_required_for_api_keys(0.429); aws.api_gateway.throttle.api_usage_plan_required_for_api_keys(0.375); aws.api_gateway.stage.require_usage_plan_for_api_keys(0.375); aws.api_gatewayv2.stage.api_usage_plan_required_for_api_keys(0.375),
aws.apigateway.usageplan.api_quota_limit_configured,apigateway,usageplan,configuration_and_change_management,medium,apigateway.usageplan.configuration,security.configuration.apigateway_usageplan_api_quota_limit_configured,aws.api_gateway.usage_plan.api_quota_limit_configured,high,Both rules check for API quota limits configured on API Gateway usage plans with identical technical intent.,api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gateway.throttle.api_quota_limit_configured(0.6); aws.api_gatewayv2.stage.api_quota_limit_configured(0.6); aws.api_gateway.usage_plan.api_quota_limit_configured(0.5); aws.api_gateway.usage_plan.quota_limits_configured(0.333); aws.api_gatewayv2.stage.api_stage_burst_limit_configured(0.333),
aws.apigateway.usageplan.api_quota_limits_configured,apigateway,usageplan,configuration_and_change_management,medium,apigateway.usageplan.configuration,security.configuration.apigateway_usageplan_api_quota_limits_configured,aws.api_gateway.usage_plan.api_quota_limit_configured,high,Both rules check for quota limits on API Gateway usage plans with nearly identical wording and service scope.,api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gateway.throttle.api_quota_limit_configured(0.6); aws.api_gatewayv2.stage.api_quota_limit_configured(0.6); aws.api_gateway.usage_plan.api_quota_limit_configured(0.5); aws.api_gateway.usage_plan.quota_limits_configured(0.333); aws.api_gatewayv2.stage.api_stage_burst_limit_configured(0.333),
aws.apigateway.usageplan.api_rate_limits_configured,apigateway,usageplan,configuration_and_change_management,medium,apigateway.usageplan.configuration,security.configuration.apigateway_usageplan_api_rate_limits_configured,aws.api_gateway.usage_plan.rate_limits_configured,high,Both rules check for rate limits configuration on API Gateway usage plans with identical service and resource focus.,api_gateway,platform,"boto3.client(""api_gateway"")",,,aws.api_gatewayv2.stage.api_stage_rate_limit_configured(0.6); aws.api_gateway.throttle.api_stage_rate_limit_configured(0.5); aws.api_gateway.usage_plan.api_stage_rate_limit_configured(0.429); aws.api_gateway.throttle.api_quota_limit_configured(0.333); aws.api_gateway.usage_plan.rate_limits_configured(0.333),
aws.apigateway.usageplan.api_stage_burst_limit_configured,apigateway,usageplan,application_and_api_security,medium,apigateway.usageplan.rate_limiting,api_security.rate_limiting.api_throttling_enabled,aws.api_gateway.usage_plan.api_stage_burst_limit_configured,high,"Candidate rule matches exactly on service (api_gateway), resource (usage_plan), and control (api_stage_burst_limit_configured) as the YAML rule.",api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gatewayv2.stage.api_stage_burst_limit_configured(0.8); aws.api_gateway.throttle.api_stage_burst_limit_configured(0.667); aws.api_gateway.usage_plan.api_stage_burst_limit_configured(0.571); aws.api_gatewayv2.stage.api_stage_rate_limit_configured(0.5); aws.api_gatewayv2.stage.api_quota_limit_configured(0.5),
aws.apigateway.usageplan.api_stage_rate_limit_configured,apigateway,usageplan,configuration_and_change_management,medium,apigateway.usageplan.configuration,security.configuration.apigateway_usageplan_api_stage_rate_limit_configured,aws.api_gateway.usage_plan.api_stage_rate_limit_configured,high,"Candidate rule matches exactly on service (api_gateway), resource type (usage_plan), and control (api_stage_rate_limit_configured) as the YAML rule.",api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gatewayv2.stage.api_stage_rate_limit_configured(0.8); aws.api_gateway.throttle.api_stage_rate_limit_configured(0.667); aws.api_gateway.usage_plan.api_stage_rate_limit_configured(0.571); aws.api_gatewayv2.stage.api_stage_burst_limit_configured(0.5); aws.api_gatewayv2.stage.api_quota_limit_configured(0.5),
aws.apigateway.usageplan.api_stage_throttle_overrides_bounded,apigateway,usageplan,configuration_and_change_management,medium,apigateway.usageplan.configuration,security.configuration.apigateway_usageplan_api_stage_throttle_overrides_bounded,aws.api_gateway.usage_plan.api_stage_throttle_overrides_not_unbounded,high,"Both rules check that API Gateway usage plan stage throttle overrides are bounded/not unbounded, covering the same technical control on the same resource.",api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gateway.throttle.api_stage_throttle_overrides_not_unbounded(0.5); aws.api_gatewayv2.stage.api_stage_throttle_overrides_not_unbounded(0.5); aws.api_gateway.usage_plan.api_stage_throttle_overrides_not_unbounded(0.4); aws.api_gateway.throttle.api_stage_burst_limit_configured(0.375); aws.api_gateway.throttle.api_stage_rate_limit_configured(0.375),
aws.apigateway.v2api.authn_required,apigateway,v2api,configuration_and_change_management,medium,apigateway.v2api.configuration,security.configuration.apigateway_v2api_authn_required,aws.api_gateway.v2_api.authn_required,high,Both rules check for authentication requirement on API Gateway v2 APIs with identical technical control intent.,api_gateway,platform,"boto3.client(""api_gateway"")",,,aws.api_gateway.rest_api.authn_required(0.4); aws.api_gateway.v2_api.authn_required(0.4); aws.apigateway.api_gateway_https_required(0.167); aws.api_gateway.api_key.expiration_required(0.167); aws.api_gateway.usage_plan.api_usage_plan_required_for_api_keys(0.125),
aws.apigateway.v2api.authz_policies_enforced,apigateway,v2api,configuration_and_change_management,medium,apigateway.v2api.configuration,security.configuration.apigateway_v2api_authz_policies_enforced,aws.api_gateway.v2_api.authz_policies_enforced,high,Both rules enforce authorization policies on API Gateway v2 APIs with identical technical control and resource type.,api_gateway,platform,"boto3.client(""api_gateway"")",,,aws.api_gateway.rest_api.authz_policies_enforced(0.5); aws.api_gateway.v2_api.authz_policies_enforced(0.5); aws.api_gateway.rest_api.private_networking_enforced(0.125); aws.api_gateway.v2_api.private_networking_enforced(0.125); aws.api_gateway.api_key.rotation_policy_defined(0.125),
aws.apigateway.v2api.private_networking_enforced,apigateway,v2api,network_security_and_connectivity,high,apigateway.v2api.network,network_security.network_access.apigateway_v2api_private_networking_enforced,aws.api_gateway.v2_api.private_networking_enforced,high,"Candidate rule ID matches exactly on service (API Gateway), API type (v2), and control (private networking enforced).",api_gateway,platform,"boto3.client(""api_gateway"")",,,aws.api_gateway.rest_api.private_networking_enforced(0.5); aws.api_gateway.v2_api.private_networking_enforced(0.5); aws.api_gateway.rest_api.authz_policies_enforced(0.125); aws.api_gateway.v2_api.authz_policies_enforced(0.125); aws.api_gateway.authorizer.tls_min_1_2_enforced(0.111),
aws.apigateway.v2api.waf_enabled,apigateway,v2api,configuration_and_change_management,medium,apigateway.v2api.configuration,security.configuration.apigateway_v2api_waf_enabled,aws.api_gateway.v2_api.waf_attached,high,"Both rules check for WAF protection on API Gateway v2 APIs, with identical technical control and resource scope.",api_gateway,platform,"boto3.client(""api_gateway"")",,,aws.apigateway.authorization_enabled(0.25); aws.apigateway.certificate.enabled(0.25); aws.apigateway.restapi_logging_enabled(0.2); apigateway.restapi.logging.enabled(0.2); apigateway.restapi.tracing.enabled(0.2),
