rule_id,provider,service,category,severity,title,description,check_type,complexity,frameworks,compliance_ids,source_file
aws.ec2.instance.required_ami_configured,aws,ec2,instance,MEDIUM,Ensure EC2 instances are launched from approved AMIs only.,Ensure EC2 instances are launched from approved AMIs only.,config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/CM-7(5),aws_rule_config/ec2/aws.ec2.instance.required_ami_configured.yaml
aws.ec2.instance.time_sync_configured,aws,ec2,instance,MEDIUM,Check if EC2 instances are configured to use Amazon Time Sync Service or equivalent.,Check if EC2 instances are configured to use Amazon Time Sync Service or equivalent.; (refined),config,L5_NEEDS_AGENT,PCI_DSS,PCI_DSS/10.6.1,aws_rule_config/ec2/aws.ec2.instance.time_sync_configured.yaml
aws.ec2.instance.vulnerability_scan_enabled,aws,ec2,instance,MEDIUM,check if EC2 instances have vulnerability findings from AWS Inspector or similar service,check if EC2 instances have vulnerability findings from AWS Inspector or similar service,config,L5_NEEDS_AGENT,PCI_DSS,PCI_DSS/6.3.1,aws_rule_config/ec2/aws.ec2.instance.vulnerability_scan_enabled.yaml
aws.ec2.securitygroup.allow_wide_open_public_ipv4_restricted,aws,ec2,securitygroup,MEDIUM,CC6.6 The entity implements logical access security measures to protect against,CC6.6 The entity implements logical access security measures to protect against,config,L3_API_LIST_CROSS,ISO27001_2022;SOC2,iso27001_2022_A.8.1;iso27001_2022_A.8.20;iso27001_2022_A.8.21;iso27001_2022_A.8.22;soc2_cc_6_6,aws_rule_config/ec2/aws.ec2.securitygroup.allow_wide_open_public_ipv4_restricted.yaml
aws.ec2.volume.delete_on_termination_configured,aws,ec2,volume,MEDIUM,(refined),(refined); Check that EBS volumes are configured to be deleted on instance termination.,config,L2_API_CONFIG,NIST_800_171,NIST_800_171/3.8.3,aws_rule_config/ec2/aws.ec2.volume.delete_on_termination_configured.yaml
aws.ec2.vpc_peering_connection.require_encryption_enabled,aws,ec2,vpc_peering_connection,HIGH,Check that VPC peering connections require encryption for data in transit.,Check that VPC peering connections require encryption for data in transit.,config,L3_API_LIST_CROSS,CANADA_PBMM,CANADA_PBMM/CA-3(3),aws_rule_config/ec2/aws.ec2.vpc_peering_connection.require_encryption_enabled.yaml
aws.ecs.task_definition.container_definition_health_check_command_configured,aws,ecs,task_definition,MEDIUM,Check ECS task definition container health check command does not include --streaming-connection-idle-timeout 0,Check ECS task definition container health check command does not include --streaming-connection-idle-timeout 0,config,L2_API_CONFIG,CIS_AWS,CIS_AWS/3.2.5,aws_rule_config/ecs/aws.ecs.task_definition.container_definition_health_check_command_configured.yaml
aws.eks.cluster.rbac_managed_configured,aws,eks,cluster,MEDIUM,PARTIAL: aws.eks.cluster.rbac_managed ||| verifies RBAC is enabled but not specific Google Groups integration,PARTIAL: aws.eks.cluster.rbac_managed ||| verifies RBAC is enabled but not specific Google Groups integration,config,L2_API_CONFIG,CIS_AWS,CIS_AWS/5.5.1,aws_rule_config/eks/aws.eks.cluster.rbac_managed_configured.yaml
aws.guardduty.detector.status_configured,aws,guardduty,detector,MEDIUM,check that AWS GuardDuty is enabled and monitoring the account/region,check that AWS GuardDuty is enabled and monitoring the account/region; check that AWS GuardDuty is enabled and monitoring; Check that AWS GuardDuty is,config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/RA-5(6);CANADA_PBMM/SI-4(1);CANADA_PBMM/SI-4(11);CANADA_PBMM/SI-4(16);CANADA_PBMM/SI-4(20);CANADA_PBMM/SI-4(23);CANADA_PBMM/SI-4(4);CANADA_PBMM/SI-4(7);CANADA_PBMM/SI-6,aws_rule_config/guardduty/aws.guardduty.detector.status_configured.yaml
aws.iam.account.management_enabled,aws,iam,account,MEDIUM,Ensure account management controls are enabled for IAM users and roles,Ensure account management controls are enabled for IAM users and roles; (refined),config,L1_API_BOOLEAN,CANADA_PBMM,CANADA_PBMM/AC-2(1),aws_rule_config/iam/aws.iam.account.management_enabled.yaml
aws.iam.account_password_policy.no_anonymous_access_enforced,aws,iam,account_password_policy,HIGH,Ensure IAM account password policy disables anonymous authentication,Ensure IAM account password policy disables anonymous authentication,config,L2_API_CONFIG,CIS_AWS,CIS_AWS/3.2.1,aws_rule_config/iam/aws.iam.account_password_policy.no_anonymous_access_enforced.yaml
aws.iam.account_password_policy.maximum_password_attempts_configured,aws,iam,account_password_policy,MEDIUM,Check AWS account password policy sets a low max failed attempts.,Check AWS account password policy sets a low max failed attempts.; (refined),config,L2_API_CONFIG,NIST_800_171,NIST_800_171/3.1.8,aws_rule_config/iam/aws.iam.account_password_policy.maximum_password_attempts_configured.yaml
aws.iam.password_policy.hide_password_feedback_configured,aws,iam,password_policy,MEDIUM,Check IAM password policy does not reveal password details on failure.,Check IAM password policy does not reveal password details on failure.,config,L2_API_CONFIG,NIST_800_171,NIST_800_171/3.5.11,aws_rule_config/iam/aws.iam.password_policy.hide_password_feedback_configured.yaml
aws.iam.policy.action_configured,aws,iam,policy,MEDIUM,Check IAM policies for unauthorized maintenance tool actions,Check IAM policies for unauthorized maintenance tool actions; (refined),config,L4_POLICY_PARSE,CANADA_PBMM,CANADA_PBMM/MA-3(3),aws_rule_config/iam/aws.iam.policy.action_configured.yaml
aws.iam.policy.change_approval_configured,aws,iam,policy,MEDIUM,Check that IAM policy changes require approval via a service control policy or similar guardrail.,Check that IAM policy changes require approval via a service control policy or similar guardrail.,config,L2_API_CONFIG,NIST_800_171,NIST_800_171/3.4.4,aws_rule_config/iam/aws.iam.policy.change_approval_configured.yaml
aws.iam.policy.condition_external_accounts_configured,aws,iam,policy,MEDIUM,Check IAM policies for conditions restricting use to external AWS accounts.,Check IAM policies for conditions restricting use to external AWS accounts.,config,L4_POLICY_PARSE,CANADA_PBMM,CANADA_PBMM/AC-20(1),aws_rule_config/iam/aws.iam.policy.condition_external_accounts_configured.yaml
aws.iam.policy.condition_source_ip_configured,aws,iam,policy,MEDIUM,Check IAM policies for maintenance actions to ensure they require a source IP from an approved network.,Check IAM policies for maintenance actions to ensure they require a source IP from an approved network.; (refined),config,L4_POLICY_PARSE,CANADA_PBMM,CANADA_PBMM/MA-4(6),aws_rule_config/iam/aws.iam.policy.condition_source_ip_configured.yaml
aws.iam.policy.deny_maintenance_tools_restricted,aws,iam,policy,MEDIUM,Check IAM policies for explicit denies on actions used by unauthorized maintenance tools.,Check IAM policies for explicit denies on actions used by unauthorized maintenance tools.; Check IAM policies for explicit denies on maintenance tool,config,L4_POLICY_PARSE,CANADA_PBMM,CANADA_PBMM/MA-3(1);CANADA_PBMM/MA-3(2),aws_rule_config/iam/aws.iam.policy.deny_maintenance_tools_restricted.yaml
aws.iam.policy.principal_condition_configured,aws,iam,policy,MEDIUM,Check IAM policies for nonlocal maintenance sessions require MFA or other strong authentication.,Check IAM policies for nonlocal maintenance sessions require MFA or other strong authentication.,config,L4_POLICY_PARSE,CANADA_PBMM,CANADA_PBMM/MA-4(1),aws_rule_config/iam/aws.iam.policy.principal_condition_configured.yaml
aws.iam.role.trust_policy_boundary_configured,aws,iam,role,MEDIUM,Check IAM roles have a permissions boundary limiting trust policy modifications.,Check IAM roles have a permissions boundary limiting trust policy modifications.; (refined),config,L4_POLICY_PARSE,CANADA_PBMM,CANADA_PBMM/SC-6,aws_rule_config/iam/aws.iam.role.trust_policy_boundary_configured.yaml
aws.iam.role.trust_policy_change_control_configured,aws,iam,role,MEDIUM,Check that IAM role trust policies are not changed without approval.,Check that IAM role trust policies are not changed without approval.; (refined),config,L4_POLICY_PARSE,CANADA_PBMM,CANADA_PBMM/CM-3(4),aws_rule_config/iam/aws.iam.role.trust_policy_change_control_configured.yaml
aws.iam.role.trust_policy_token_actions_configured,aws,iam,role,MEDIUM,Check IAM role trust policies for unnecessary sts:AssumeRoleWithWebIdentity or sts:AssumeRoleWithSAML actions.,Check IAM role trust policies for unnecessary sts:AssumeRoleWithWebIdentity or sts:AssumeRoleWithSAML actions.,config,L4_POLICY_PARSE,CIS_AWS,CIS_AWS/4.1.6,aws_rule_config/iam/aws.iam.role.trust_policy_token_actions_configured.yaml
aws.iam.user.password_policy_hard_expiry_configured,aws,iam,user,MEDIUM,Check IAM password policy enforces hard expiry for inactive users.,Check IAM password policy enforces hard expiry for inactive users.,config,L2_API_CONFIG,CIS_AWS,CIS_AWS/1.11,aws_rule_config/iam/aws.iam.user.password_policy_hard_expiry_configured.yaml
aws.iam.user_settings.password_reset_notification_enabled,aws,iam,user_settings,MEDIUM,(refined),(refined),config,L1_API_BOOLEAN,CIS,CIS/5.10,aws_rule_config/iam/aws.iam.user_settings.password_reset_notification_enabled.yaml
aws.inspector.assessment.enabled,aws,inspector,assessment,MEDIUM,(refined),(refined),config,L2_API_CONFIG,CIS,CIS/8.1.16,aws_rule_config/inspector/aws.inspector.assessment.enabled.yaml
aws.kms.key.key_manager_configured,aws,kms,key,HIGH,(refined),(refined); Check that KMS customer-managed keys have a defined key manager (IAM user/role) for key usage authorization.; Check that KMS customer-manag,config,L2_API_CONFIG,CANADA_PBMM;NIST_800_171,CANADA_PBMM/SC-12(1);CANADA_PBMM/SC-12(2);CANADA_PBMM/SC-12(3);NIST_800_171/3.13.10,aws_rule_config/kms/aws.kms.key.key_manager_configured.yaml
aws.media_import_export.job.encryption_enabled,aws,media_import_export,job,HIGH,Check that AWS Import/Export jobs require encryption for media.,Check that AWS Import/Export jobs require encryption for media.,config,L1_API_BOOLEAN,CANADA_PBMM,CANADA_PBMM/MP-8(1),aws_rule_config/media_import_export/aws.media_import_export.job.encryption_enabled.yaml
aws.organizations.account.status_configured,aws,organizations,account,MEDIUM,check that all member accounts in the organization are active and monitored,check that all member accounts in the organization are active and monitored,config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/CA-7(1),aws_rule_config/organizations/aws.organizations.account.status_configured.yaml
aws.qldb.ledger.encryption_at_rest_enabled,aws,qldb,ledger,HIGH,Ensure Data at Rest is Encrypted,Ensure Data at Rest is Encrypted,config,L1_API_BOOLEAN,CIS_AWS,cis_aws_11.3,aws_rule_config/qldb/aws.qldb.ledger.encryption_at_rest_enabled.yaml
aws.qldb.ledger.journal_export_configured,aws,qldb,ledger,MEDIUM,Ensure to Enable Backup and Recovery,Ensure to Enable Backup and Recovery,config,L2_API_CONFIG,CIS_AWS,cis_aws_11.7,aws_rule_config/qldb/aws.qldb.ledger.journal_export_configured.yaml
aws.qldb.logging.and_monitoring_compliance_check,aws,qldb,logging,MEDIUM,Ensure Monitoring and Logging is Enabled,Ensure Monitoring and Logging is Enabled,config,L2_API_CONFIG,CIS_AWS,cis_aws_11.6,aws_rule_config/qldb/aws.qldb.logging.and_monitoring_compliance_check.yaml
aws.qldb.vpc.network_access_secure_configuration_check,aws,qldb,vpc,MEDIUM,Ensure Network Access is Secure,Ensure Network Access is Secure,config,L2_API_CONFIG,CIS_AWS,cis_aws_11.2,aws_rule_config/qldb/aws.qldb.vpc.network_access_secure_configuration_check.yaml
aws.rds.db_instance.automated_backups_configured,aws,rds,db_instance,MEDIUM,Check RDS instance automated backup retention period is configured,Check RDS instance automated backup retention period is configured,config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/CP-10(2),aws_rule_config/rds/aws.rds.db_instance.automated_backups_configured.yaml
aws.s3.bucket.anonymous_auth_disabled,aws,s3,bucket,HIGH,(refined),(refined),config,L1_API_BOOLEAN,CIS,CIS/3.2.1,aws_rule_config/s3/aws.s3.bucket.anonymous_auth_disabled.yaml
aws.securityhub.findings.periodic_assessment_configured,aws,securityhub,findings,MEDIUM,Check that AWS Security Hub is enabled and configured to periodically generate findings for security controls.,Check that AWS Security Hub is enabled and configured to periodically generate findings for security controls.,config,L2_API_CONFIG,NIST_800_171,NIST_800_171/3.12.1,aws_rule_config/securityhub/aws.securityhub.findings.periodic_assessment_configured.yaml
aws.ssm.parameter.permissions_configured,aws,ssm,parameter,MEDIUM,(refined),(refined),config,L2_API_CONFIG,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,aws_rule_config/ssm/aws.ssm.parameter.permissions_configured.yaml
aws.vpc.network_acl.deny_all_ingress_restricted,aws,vpc,network_acl,MEDIUM,Check that a VPC network ACL denies all inbound traffic by default.,Check that a VPC network ACL denies all inbound traffic by default.,config,L3_API_LIST_CROSS,CANADA_PBMM,CANADA_PBMM/SC-7(4),aws_rule_config/vpc/aws.vpc.network_acl.deny_all_ingress_restricted.yaml
aws.vpc.network_acl.rule_action_configured,aws,vpc,network_acl,MEDIUM,"Check that VPC Network ACL rules enforce allowed traffic flows (deny by default, explicit allow rules).","Check that VPC Network ACL rules enforce allowed traffic flows (deny by default, explicit allow rules).",config,L3_API_LIST_CROSS,CANADA_PBMM,CANADA_PBMM/AC-4(21),aws_rule_config/vpc/aws.vpc.network_acl.rule_action_configured.yaml
aws.vpc.peering_connection.require_acceptance_configured,aws,vpc,peering_connection,MEDIUM,Check that VPC peering connections require manual acceptance.,Check that VPC peering connections require manual acceptance.,config,L3_API_LIST_CROSS,CANADA_PBMM,CANADA_PBMM/CA-3(5),aws_rule_config/vpc/aws.vpc.peering_connection.require_acceptance_configured.yaml
aws.vpc.security_group.ingress_restricted,aws,vpc,security_group,MEDIUM,Check that security groups restrict inbound traffic to authorized sources.,Check that security groups restrict inbound traffic to authorized sources.; Check that security groups restrict ingress from the internet to only auth,config,L3_API_LIST_CROSS,CANADA_PBMM,CANADA_PBMM/SC-7(12);CANADA_PBMM/SC-7(13);CANADA_PBMM/SC-7(18);CANADA_PBMM/SC-7(7);CANADA_PBMM/SC-7(8),aws_rule_config/vpc/aws.vpc.security_group.ingress_restricted.yaml
aws.vpn.client_endpoint.split_tunnel_configured,aws,vpn,client_endpoint,MEDIUM,check that AWS Client VPN endpoints do not have split tunneling enabled,check that AWS Client VPN endpoints do not have split tunneling enabled; (refined),config,L3_API_LIST_CROSS,NIST_800_171,NIST_800_171/3.13.7,aws_rule_config/vpn/aws.vpn.client_endpoint.split_tunnel_configured.yaml
