check_name,matched_rule_ids,method,confidence,reasoning
azure_app_service_slot_client_cert_check,azure.app.service.slot.client.cert.check,token_match_high,1.00,Jaccard=1.00
azure_app_service_slot_public_network_access_check,azure.app.service.slot.public.network.access.check,token_match_high,1.00,Jaccard=1.00
azure_app_service_virtual_network_integration_check,azure.app.service.virtual.network.integration.check,token_match_high,1.00,Jaccard=1.00
azure_app_service_vnet_integration_check,azure.app.service.vnet.integration.check,token_match_high,1.00,Jaccard=1.00
azure_app_service_vnet_route_all_enabled_check,azure.app.service.vnet.route.all.enabled.check,token_match_high,1.00,Jaccard=1.00
azure_application_gateway_http2_enabled,azure.application.gateway.http2.enabled,token_match_high,1.00,Jaccard=1.00
azure_application_gateway_ssl_policy_minimum_tls_version,azure.application.gateway.ssl.policy.minimum.tls.version,token_match_high,1.00,Jaccard=1.00
azure_application_gateway_waf_bot_protection_check,azure.application.gateway.waf.bot.protection.check,token_match_high,1.00,Jaccard=1.00
azure_application_gateway_waf_enabled,azure.application.gateway.waf.enabled,token_match_high,1.00,Jaccard=1.00
azure_application_gateway_waf_policy_request_body_inspection_enabled,azure.application.gateway.waf.policy.request.body.inspection.enabled,token_match_high,1.00,Jaccard=1.00
azure_application_insights_enabled,azure.monitor.application.insights.configuration.check,token_match_high,0.75,Jaccard=0.75
azure_appservice_app_ip_security_restrictions_disabled,azure.appservice.app.ip.security.restrictions.disabled,token_match_high,1.00,Jaccard=1.00
azure_appservice_ase_internal_encryption_check,azure.appservice.ase.internal.encryption.check,token_match_high,1.00,Jaccard=1.00
azure_appservice_ase_tls_cipher_suite_order_configured,azure.appservice.ase.tls.cipher.suite.order.configured,token_match_high,1.00,Jaccard=1.00
azure_appservice_authentication_enabled_check,azure.appservice.authentication.enabled.check,token_match_high,1.00,Jaccard=1.00
azure_appservice_deployment_slot_php_version_check,azure.appservice.deployment.slot.php.version.check,token_match_high,1.00,Jaccard=1.00
azure_appservice_deployment_slot_vnet_integration_check,azure.appservice.deployment.slot.vnet.integration.check,token_match_high,1.00,Jaccard=1.00
azure_appsync_field_level_logging_enabled,azure.api.management_monitoring.monitoring_api_execution_logging_level_minimum_error,deep_review_medium,medium,"Both controls focus on enabling detailed API-level logging (field-level for AppSync vs. API execution logging for API Management), which are conceptually similar but for different Azure services."
azure_automation_managed_compliant_patching,azure.automation.account.compliant_patching_enabled,token_match_high,0.67,Jaccard=0.67
azure_awslambda_function_inside_vpc,azure.function.serverless_function.vpc_private_networking_enabled,ai_verified,high,"Both the check name and the rule focus on ensuring serverless functions are deployed within a VPC for network isolation, matching service (Azure Functions), action (VPC/private networking), and target"
azure_awslambda_function_not_publicly_accessible,,ai_rejected,none,"The check name targets Azure AWS Lambda function public accessibility, but all candidate rules are for different Azure services (AI Search, Container Registry, Key Vault, Compute Image, Function App T"
azure_backup_backup_encryption_enabled,azure.backup.vault.encryption_enabled,token_match_high,0.75,Jaccard=0.75
azure_backup_enabled_for_vms,azure.backup.vault.enabled_for_vms,token_match_high,0.75,Jaccard=0.75
azure_backup_plan_min_retention,azure.backup.policy.min_retention_configured,token_match_high,0.67,Jaccard=0.67
azure_backup_policy_configured,azure.backup.policy.configured,token_match_high,1.00,Jaccard=1.00
azure_backup_recovery_point_encrypted,azure.backup.recovery.point_encrypted,token_match_high,1.00,Jaccard=1.00
azure_backup_recovery_point_retention,azure.backup.recovery.point_retention_configured,token_match_high,1.00,Jaccard=1.00
azure_backup_recovery_services_vault_infrastructure_encryption_enabled_check,azure.backup.recovery.services.vault.infrastructure.encryption.enabled.check,token_match_high,1.00,Jaccard=1.00
azure_backup_recovery_services_vault_public_network_access_disabled,azure.backup.recovery.services.vault.public.network.access.disabled,token_match_high,1.00,Jaccard=1.00
azure_backup_recovery_services_vault_soft_delete_settings,azure.backup.recovery.services.vault.soft.delete.settings,token_match_high,1.00,Jaccard=1.00
azure_backup_vault_cross_region_restore_check,azure.backup.vault.cross.region.restore.check,token_match_high,1.00,Jaccard=1.00
azure_backup_vault_cross_subscription_restore_check,azure.backup.vault.cross.subscription.restore.check,token_match_high,1.00,Jaccard=1.00
azure_backup_vault_immutability_locked,azure.backup.vault.immutability.locked,token_match_high,1.00,Jaccard=1.00
azure_backup_vault_soft_delete_enabled,azure.backup.vault.soft_delete_enabled,token_match_high,1.00,Jaccard=1.00
azure_batch_account_authentication_modes_check,azure.batch.account.authentication.modes.check,token_match_high,1.00,Jaccard=1.00
azure_batch_account_diagnostics_settings_logs_enabled,azure.batch.account.diagnostics.settings.logs.enabled,token_match_high,1.00,Jaccard=1.00
azure_batch_account_private_endpoint_approved,azure.batch.account.private.endpoint.approved,token_match_high,1.00,Jaccard=1.00
azure_batch_account_public_network_access_check_disabled,azure.batch.account.public.network.access.check.disabled,token_match_high,1.00,Jaccard=1.00
azure_batch_private_endpoint_dns_zone_validation,azure.batch.private.endpoint.dns.zone.validation,token_match_high,1.00,Jaccard=1.00
azure_blob_storage_container_soft_delete_check,azure.storage.account.blob.soft.delete.enabled,token_match_high,0.71,Jaccard=0.71
azure_blob_storage_soft_delete_enabled,azure.storage.account.blob.soft.delete.enabled,token_match_high,0.83,Jaccard=0.83
azure_cache_redis_cluster_backup_enabled,azure.backup.policy.configured,ai_verified,low,"Only this rule relates to backup configuration, but it is generic and not specific to Azure Cache for Redis clusters."
azure_cache_redis_microsoft_entra_authentication_enabled,azure.cache.redis.microsoft.entra.authentication.enabled,token_match_high,1.00,Jaccard=1.00
azure_cache_redis_public_network_access_disabled,azure.cache.redis.public.network.access.disabled,token_match_high,1.00,Jaccard=1.00
azure_cache_redis_ssl_only_access,azure.cache.redis.ssl.only.access,token_match_high,1.00,Jaccard=1.00
azure_cdn_cloudfront_https_required,azure.cdn.endpoint.https_required,token_match_high,0.67,Jaccard=0.67
azure_cdn_distributions_custom_ssl_certificate,azure.cdn.profile.edge_valid_trusted_certificate_attached,deep_review_medium,medium,"Both the check name and the candidate focus on ensuring valid SSL certificates are used in Azure CDN, though the check name specifies 'custom SSL certificate' while the candidate refers to 'valid trusted certificate attached'."
azure_cdn_distributions_logging_enabled,azure.cdn.endpoint.logging_enabled,token_match_high,0.60,Jaccard=0.60
azure_cdn_distributions_origin_traffic_encrypted,,ai_rejected,none,"No catalog rule matches the specific check for encrypting origin traffic in Azure CDN distributions, as the candidates either target different services, different actions (logging, access restriction)"
azure_cdn_distributions_using_deprecated_ssl_protocols,azure.cdn.endpoint.deprecated_ssl_protocols,token_match_high,0.71,Jaccard=0.71
azure_certificates_certificates_expiration_check,azure.keyvault.certificate.expiration_check,ai_verified,high,"This rule specifically checks certificate expiration in Azure Key Vault, which directly matches the service (Azure), action (expiration check), and target resource (certificates) specified in the chec"
azure_compute_disk_encryption_cmk_check,azure.compute.disk.encryption.cmk.check,token_match_high,1.00,Jaccard=1.00
azure_compute_ebs_default_encryption,azure.compute.disk.encryption_at_rest_enabled,ai_verified,high,"Both the check name and this rule specifically target encryption at rest for Azure compute disks, which is the core security control for default encryption."
azure_compute_ebs_public_snapshot,azure.compute.disk.snapshots_not_public,ai_verified,high,"The check name directly matches the rule's service (azure compute), target resource (disk snapshots), and security violation (public exposure)."
azure_compute_ebs_volume_encryption,azure.compute.disk.encryption_at_rest_enabled;azure.compute.disk.encryption_enabled:az.compute_disk.compute_security_disk_encryption_at_rest_enabled,ai_verified,high,"Both rules check for encryption at rest on Azure compute disks, which matches the EBS volume encryption check for Azure compute resources."
azure_compute_ebs_volume_encryption_enabled,azure.compute.disk.encryption_at_rest_enabled;azure.compute.disk.encryption_enabled:az.compute_disk.compute_security_disk_encryption_at_rest_enabled,ai_verified,high,"Both rules directly check for encryption at rest on Azure compute disks, matching the service, action, and target resource of the given check."
azure_compute_ebs_volume_protected_by_backup_plan,azure.compute.vm.backup_enabled,ai_verified,medium,"The check name focuses on EBS volume backup protection in Azure Compute, which aligns most closely with ensuring VM backup is enabled, though the match is not exact due to terminology differences."
azure_compute_instance_imdsv2_enabled,,ai_rejected,none,"The check name refers to enabling IMDSv2 for Azure compute instances, but none of the candidate rules address Instance Metadata Service (IMDS) configuration or version enforcement."
azure_compute_instance_managed_by_ssm,azure.vm.instance.managed.by.ssm,token_match_high,0.67,Jaccard=0.67
azure_compute_instance_older_than_specific_days,azure.compute.instance.older_than_specific_days,token_match_high,1.00,Jaccard=1.00
azure_compute_instance_profile_attached,azure.compute.instance.profile_attached,token_match_high,1.00,Jaccard=1.00
azure_compute_instance_public_ip,azure.compute.virtual_machine.vm_no_public_ip_assigned,ai_verified,high,"This rule directly checks for public IP assignment on Azure compute instances, matching the service (compute), action (detecting public IP), and target resource (virtual machine instances)."
azure_compute_networkacl_allow_ingress_any_port,azure.compute.vm.unrestricted_ingress;azure.compute.vm.unrestricted_network_ingress,ai_verified,high,"Both rules target unrestricted ingress traffic to Azure compute VMs, which matches the check name's focus on network ACLs allowing ingress on any port."
azure_compute_networkacl_allow_ingress_tcp_port_22,azure.compute.vm.unrestricted_ingress;azure.compute.vm.unrestricted_network_ingress,ai_verified,high,"Both rules detect unrestricted network ingress to Azure compute resources, specifically targeting SSH port 22 violations."
azure_compute_networkacl_allow_ingress_tcp_port_3389,azure.compute.vm.unrestricted_ingress,ai_verified,high,"The check name specifically targets unrestricted ingress on TCP port 3389 (RDP) for Azure compute, which directly aligns with the rule detecting unrestricted ingress on virtual machines."
azure_compute_securitygroup_allow_ingress_from_internet_to_all_ports,azure.compute.vm.unrestricted_ingress;azure.compute.vm.unrestricted_network_ingress,ai_verified,high,"Both rules target unrestricted ingress to Azure compute VMs, matching the service (compute/VM), action (allow ingress), and resource (security group/network) of the given check."
azure_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22,azure.compute.vm.unrestricted_ingress,ai_verified,high,"The check name specifically targets unrestricted ingress to TCP port 22 from the internet on Azure compute security groups, which directly matches the rule's purpose of detecting unrestricted ingress "
azure_compute_securitygroup_default_restrict_traffic,azure.networksecuritygroup.default.restrict.traffic,ai_verified,high,"The check name and rule ID both target the restriction of default traffic in Azure Network Security Groups, indicating a direct service, action, and resource match."
azure_container_instance_managed_identity_least_privilege_check,azure.container.instance.managed.identity.least.privilege.check,token_match_high,1.00,Jaccard=1.00
azure_container_instances_task_definition_logging_enabled,azure.container.instance.logging_enabled,ai_verified,high,"The check name specifically targets Azure Container Instances logging, which directly matches the service, resource type, and security control of the top candidate rule."
azure_container_registry_image_scan_on_push_enabled,azure.container.registry.image_scan_enabled,token_match_high,0.83,Jaccard=0.83
azure_container_registry_repository_encryption_enabled,azure.container.registry.encryption_enabled,token_match_high,0.80,Jaccard=0.80
azure_containerregistry_not_publicly_accessible,azure.container.registry.not_publicly_accessible,ai_verified,high,The rule directly matches the service (Azure Container Registry) and the security check (preventing public accessibility).
azure_containerregistry_uses_private_link,azure.container.registry.private_link_enabled,ai_verified,high,Both the check name and rule directly address Azure Container Registry private link configuration for network isolation.
azure_cosmos_db_accelerator_cluster_encryption_enabled,azure.cosmos.database.encryption_enabled,ai_verified,medium,"The check name focuses on Cosmos DB cluster encryption, and while the top candidate matches the service and encryption requirement, it lacks explicit mention of 'accelerator cluster' or 'CMK/KMS' spec"
azure_cosmos_db_table_encryption_enabled,azure.cosmos.table.kms_cmk_encryption_enabled,ai_verified,high,"This rule directly matches the service (Azure Cosmos DB Table), action (encryption enabled), and target resource (KMS/CMK encryption), aligning with the check's focus on table-level encryption."
azure_cosmos_db_table_protected_by_backup_plan,azure.cosmos.table.pitr_enabled,ai_verified,medium,"The check name specifically targets Azure Cosmos DB Table protection via backup plans, which aligns with the point-in-time recovery (PITR) backup functionality for Cosmos DB Tables."
azure_cosmos_db_tables_kms_cmk_encryption_enabled,azure.cosmos.table.kms_cmk_encryption_enabled,token_match_high,0.62,Jaccard=0.62
azure_cosmos_db_tables_pitr_enabled,azure.cosmos.table.pitr_enabled,ai_verified,high,"The check name specifically targets Azure Cosmos DB Tables with PITR (Point-in-Time Recovery) enabled, which matches exactly with the service (azure.cosmos.table), action (pitr_enabled), and target re"
azure_cosmosdb_account_firewall_use_selected_networks,azure.cosmosdb.account.firewall_use_selected_networks,token_match_high,1.00,Jaccard=1.00
azure_cosmosdb_account_private_endpoint_approved,azure.cosmosdb.account.private.endpoint.approved,token_match_high,1.00,Jaccard=1.00
azure_cosmosdb_account_use_private_endpoints,azure.cosmosdb.account.use_private_endpoints,token_match_high,1.00,Jaccard=1.00
azure_cosmosdb_autoscale_enabled,azure.cosmos.database.autoscale_enabled,ai_verified,high,"The check name and rule both target Azure Cosmos DB and specifically verify if autoscaling is enabled, ensuring the same security violation detection."
azure_cosmosdb_backup_enabled,azure.cosmos.database.backup_enabled,ai_verified,high,"The check name and rule ID both specifically target backup enablement for Azure Cosmos DB, ensuring a direct service and resource match."
azure_cosmosdb_defender_status_check,azure.cosmosdb.defender.status.check,token_match_high,1.00,Jaccard=1.00
azure_cosmosdb_encryption_enabled,azure.cosmos.database.encryption_enabled,ai_verified,high,This rule directly matches the service (Azure Cosmos DB) and the security check for encryption being enabled.
azure_cosmosdb_geo_redundant,azure.cosmos.database.geo_redundant,ai_verified,high,"The check name specifically targets Azure CosmosDB geo-redundancy, which matches exactly with the service, action, and resource type of the first candidate rule."
azure_cosmosdb_global_tables_enabled,azure.cosmos.database.global_tables_enabled,ai_verified,high,"The rule directly matches the service (Azure Cosmos DB), action (checking global tables), and target resource (database/tables), indicating it implements the same security check."
azure_cosmosdb_network_restriction_enabled,azure.cosmosdb.network.restriction.enabled,token_match_high,1.00,Jaccard=1.00
azure_cosmosdb_pitr_enabled,azure.cosmos.database.pitr_enabled;azure.cosmos.table.pitr_enabled,ai_verified,high,"Both rules directly check for point-in-time recovery (PITR) enablement on Azure Cosmos DB resources, matching the service and security intent of the given check name."
azure_database_migration_instance_no_public_access,azure.sql.server.db_instance_public_access_disabled,ai_verified,medium,"The check name targets Azure Database Migration Service instances for public access, which is most closely aligned with SQL Server database instance public access controls, though not a perfect servic"
azure_databricks_pat_compliance_check,azure.databricks.scim.sync.verification,deep_review_medium,medium,"The check name 'azure_databricks_pat_compliance_check' likely refers to Personal Access Token (PAT) management in Azure Databricks, which is related to identity and access control, similar to SCIM synchronization for user provisioning."
azure_databricks_scim_sync_verification,azure.databricks.scim.sync.verification,token_match_high,1.00,Jaccard=1.00
azure_databricks_workspace_check_no_public_ip_enabled,azure.databricks.workspace.check.no.public.ip.enabled,token_match_high,1.00,Jaccard=1.00
azure_databricks_workspace_diagnostic_logging_configured,azure.databricks.workspace.diagnostic.logging.configured,token_match_high,1.00,Jaccard=1.00
azure_databricks_workspace_encryption_cmk_enabled,azure.databricks.workspace.encryption.cmk.enabled,token_match_high,1.00,Jaccard=1.00
azure_databricks_workspace_private_endpoint_status_check,azure.databricks.workspace.private.endpoint.status.check,token_match_high,1.00,Jaccard=1.00
azure_databricks_workspace_public_network_access_check,azure.databricks.workspace.public.network.access.check,token_match_high,1.00,Jaccard=1.00
azure_databricks_workspace_vnet_configuration_check,azure.databricks.workspace.vnet.configuration.check,token_match_high,1.00,Jaccard=1.00
azure_dataprotection_backup_vault_cross_region_restore_enabled,azure.dataprotection.backup.vault.cross.region.restore.enabled,token_match_high,1.00,Jaccard=1.00
azure_dataprotection_backup_vault_encryption_cmk_enabled,azure.dataprotection.backup.vault.encryption.cmk.enabled,token_match_high,1.00,Jaccard=1.00
azure_dataprotection_backup_vault_immutability_check,azure.dataprotection.backup.vault.immutability.check,token_match_high,1.00,Jaccard=1.00
azure_dataprotection_backup_vault_soft_delete_compliance_check,azure.dataprotection.backup.vault.soft.delete.compliance.check,token_match_high,1.00,Jaccard=1.00
