check_name,category,matched_rule_ids,confidence,reasoning
ibm_elbv2_deletion_protection,wrong_csp[elb],,,check contains non-ibm service markers
ibm_elbv2_insecure_ssl_ciphers,wrong_csp[elb],,,check contains non-ibm service markers
ibm_elbv2_internet_facing,wrong_csp[elb],,,check contains non-ibm service markers
ibm_elbv2_is_in_multiple_az,wrong_csp[elb],,,check contains non-ibm service markers
ibm_elbv2_target_group_health_check_enabled,wrong_csp[elb],,,check contains non-ibm service markers
ibm_elbv2_waf_acl_attached,wrong_csp[elb],,,check contains non-ibm service markers
ibm_emr_cluster_account_public_block_enabled,wrong_csp[emr],,,check contains non-ibm service markers
ibm_emr_cluster_publicly_accesible,wrong_csp[emr],,,check contains non-ibm service markers
ibm_entra_conditional_access_policy_require_mfa_for_management_api,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_conditional_access_policy_require_mfa_for_management_app,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_global_admin_in_less_than_five_users,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_non_privileged_user_has_mfa,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_non_privileged_user_has_mfa entra_privileged_user_has_mfa,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_policy_default_users_cannot_create_security_groups,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_policy_ensure_default_user_cannot_create_apps,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_policy_ensure_default_user_cannot_create_tenants,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_policy_guest_invite_only_for_admin_roles,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_policy_guest_users_access_restrictions,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_policy_restricts_user_consent_for_apps,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_policy_user_consent_for_verified_apps,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_policy_user_consent_for_verified_apps storage_blob_public_access_level_is_disabled storage_ensure_ibm_services_are_trusted_to_access_is_enabled,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_privileged_user_has_mfa,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_security_defaults_enabled,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_trusted_named_locations_exists,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_user_with_vm_access_has_mfa,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_entra_users_cannot_create_microsoft_365_groups,wrong_csp[entra_],,,check contains non-ibm service markers
ibm_guardduty_is_enabled,wrong_csp[guardduty],,,check contains non-ibm service markers
ibm_iam_aws_attached_policy_no_administrative_privileges,wrong_csp[aws_],,,check contains non-ibm service markers
ibm_iam_password_policy_expires_passwords_within_90_days_or_less,wrong_csp[rds],,,check contains non-ibm service markers
ibm_iam_policy_no_full_access_to_cloudtrail,wrong_csp[cloudtrail],,,check contains non-ibm service markers
ibm_kinesis_stream_data_retention_period,wrong_csp[kinesis],,,check contains non-ibm service markers
ibm_monitoring_log_metric_filter_and_alarm_for_aws_config_configuration_changes_enabled,wrong_csp[aws_],,,check contains non-ibm service markers
ibm_monitoring_log_metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled,wrong_csp[cloudtrail],,,check contains non-ibm service markers
ibm_opensearch_service_domains_cloudwatch_logging_enabled,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_rds_backup_enabled,wrong_csp[rds],,,check contains non-ibm service markers
ibm_rds_backup_retention_period,wrong_csp[rds],,,check contains non-ibm service markers
ibm_rds_instance_copy_tags_to_snapshots,wrong_csp[rds],,,check contains non-ibm service markers
ibm_rds_instance_integration_cloudwatch_logs,"wrong_csp[cloudwatch,rds]",,,check contains non-ibm service markers
ibm_rds_instance_no_public_access,wrong_csp[rds],,,check contains non-ibm service markers
ibm_rds_instance_performance_insights_enabled,wrong_csp[rds],,,check contains non-ibm service markers
ibm_rds_multi_az_enabled,wrong_csp[rds],,,check contains non-ibm service markers
ibm_route53_public_hosted_zones_cloudwatch_logging_enabled,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_s3_bucket_metrics_enabled,wrong_csp[s3_bucket],,,check contains non-ibm service markers
ibm_s3_bucket_replication_enabled,wrong_csp[s3_bucket],,,check contains non-ibm service markers
ibm_security_advisor_eks_audit_log_enabled,wrong_csp[eks],,,check contains non-ibm service markers
ibm_security_advisor_guardduty_enabled,wrong_csp[guardduty],,,check contains non-ibm service markers
ibm_stepfunctions_statemachine_logging_enabled,wrong_csp[stepfunctions],,,check contains non-ibm service markers
ibm_vpc_ebs_public_snapshot,wrong_csp[ebs],,,check contains non-ibm service markers
ibm_vpc_ebs_volume_protected_by_backup_plan,wrong_csp[ebs],,,check contains non-ibm service markers
ibm_vpc_endpoint_for_ec2_enabled,wrong_csp[ec2_],,,check contains non-ibm service markers
ibm_vsi_ebs_public_snapshot,wrong_csp[ebs],,,check contains non-ibm service markers
ibm_vsi_ebs_snapshot_account_block_public_access,wrong_csp[ebs],,,check contains non-ibm service markers
ibm_vsi_ebs_snapshots_encrypted,wrong_csp[ebs],,,check contains non-ibm service markers
ibm_vsi_ebs_volume_protected_by_backup_plan,wrong_csp[ebs],,,check contains non-ibm service markers
ibm_vsi_ebs_volume_snapshots_exists,wrong_csp[ebs],,,check contains non-ibm service markers
ibm_No checks defined,deep_review,,none,"The compliance check name 'ibm_No checks defined' indicates no specific control is defined, so there is no matching rule among the candidates."
ibm_accessanalyzer_enabled,deep_review,,none,"The check name 'ibm_accessanalyzer_enabled' refers to enabling IBM Security and Compliance Center's Access Analyzer for resource configuration analysis, but none of the provided candidates address access analysis or IAM policy review."
ibm_accessanalyzer_enabled_without_findings,deep_review,,none,"The compliance check name refers to enabling IBM Access Analyzer without findings, but none of the provided candidates address access analyzer configuration or findings."
ibm_account_maintain_current_contact_details,deep_review,ibm.iam.activity.account_settings_change,medium,"The check name is about maintaining current contact details, which is a type of account setting change, aligning with the candidate's focus on account security settings changes."
ibm_account_maintain_different_contact_details_to_security_billing_and_operations,deep_review,ibm.iam.activity.account_settings_change,medium,"The check name is about maintaining distinct contact details for security, billing, and operations, which is a specific account setting change, aligning with the candidate rule's focus on account security settings changes."
ibm_account_security_contact_information_is_registered,deep_review,ibm.iam.activity.account_settings_change,medium,"The check name is about registering security contact information, which is a type of account security setting change, aligning with the candidate's focus on global account security settings modifications."
ibm_activity_tracker_alert_configuration_verification,deep_review,,none,"The check name is about verifying alert configurations in Activity Tracker, but all candidates are about instance deletions or other unrelated activities, not alert configuration."
ibm_activity_tracker_cos_dataevents_read_enabled,deep_review,,none,"The check name is about enabling read data events for Activity Tracker on COS, but all candidates are about specific activity events (like bucket changes or deletions) rather than the configuration control of enabling those events."
ibm_activity_tracker_cos_dataevents_write_enabled,deep_review,ibm.cos.activity.bucket_change,medium,"The check name focuses on COS data events write logging, which aligns with bucket configuration changes tracked by the candidate rule, though the candidate emphasizes configuration monitoring rather than specifically the logging enablement."
ibm_activity_tracker_data_encryption_at_rest,deep_review,,none,"The compliance check is about Activity Tracker data encryption at rest, but none of the candidates specifically address encryption for Activity Tracker or logging services."
ibm_activity_tracker_kms_encryption_enabled,deep_review,,none,"The check name is about enabling KMS encryption for Activity Tracker, but all candidates are about deletion, access, or disablement of keys or instances, not about enabling encryption."
ibm_activity_tracker_log_file_validation_enabled,deep_review,,none,"The check name is about enabling log file validation for Activity Tracker, but all candidates are about deletion, routing changes, or unrelated activities, not about validation or integrity of log files."
ibm_activity_tracker_logdna_archiving_enabled,deep_review,,none,"The check name is about enabling archiving for Activity Tracker with LogDNA, but all candidates are about deletion or activity events, not about enabling or configuring archiving."
ibm_activity_tracker_login_ip_restriction_check,deep_review,,none,"The check name is about login IP restrictions for Activity Tracker, but none of the candidates address IP-based access controls or login restrictions for Activity Tracker."
ibm_activity_tracker_logs_cos_bucket_access_logging_enabled,deep_review,ibm.object_storage.bucket.activity_tracking_enabled,high,"The check name directly refers to enabling access logging for COS buckets, which is the same control as enabling activity tracking for object storage buckets."
ibm_activity_tracker_multi_region_enabled,deep_review,,none,"The compliance check name is about enabling multi-region activity tracking, but all candidates are about specific activity events or deletions, not about the configuration or enabling of multi-region features."
ibm_activity_tracker_multi_region_enabled_logging_management_events,deep_review,,none,"The check name is about enabling multi-region logging for management events, but all candidates are about deletion, routing changes, or unrelated activities, not about enabling the feature itself."
ibm_activity_tracker_s3_dataevents_read_enabled,deep_review,,none,"The check name is about enabling S3 data event read logging in Activity Tracker, but all candidates are about specific activity events (deletions, admin actions, VPC changes) rather than the configuration control of enabling a logging feature."
ibm_activity_tracker_s3_dataevents_write_enabled,deep_review,,none,"The check name is about enabling S3 data event write logging in Activity Tracker, but all candidates are about specific activity events (deletions, admin actions, VPC changes) rather than the configuration of logging for S3 data events."
ibm_activity_tracker_threat_detection_enumeration,deep_review,,none,"The compliance check name refers to threat detection enumeration for Activity Tracker, but all candidates are about specific activity events (like deletion or admin actions) rather than the enumeration or threat detection capability itself."
ibm_activity_tracker_threat_detection_llm_jacking,deep_review,,none,"The check name refers to 'threat detection LLM jacking' which is a specific AI/LLM security threat, while all candidates are about general infrastructure logging events with no relation to AI model security."
ibm_aisearch_service_not_publicly_accessible,deep_review,,none,"The check name is about AI Search service public accessibility, but none of the candidates address AI Search or a similar managed service's network exposure."
ibm_aks_network_policy_enabled,deep_review,,none,"The compliance check 'ibm_aks_network_policy_enabled' is about Kubernetes network policy enforcement in AKS, but none of the IBM catalog candidates address Kubernetes network policies or AKS-specific controls."
ibm_api_connect_authorization_enabled,deep_review,,none,"The compliance check name refers to API Connect authorization, but all candidates are about IAM API keys, Key Protect, or unrelated services, with no match for API Connect-specific authorization controls."
ibm_api_connect_client_certificate_enabled,deep_review,,none,"The check name is about enabling client certificates for API Connect, but all candidates are about certificate expiration/renewal, API keys, or unrelated IAM controls, not about enabling client certificates."
ibm_api_connect_restapi_client_certificate_enabled,deep_review,,none,"The compliance check is about enabling client certificates for IBM API Connect REST API, but all candidates focus on certificate expiration/renewal, API keys, or general certificate management, not the specific enablement of client certificates for A"
ibm_api_connect_restapi_logging_enabled,deep_review,,none,"The compliance check is about API Connect REST API logging, but all candidates are about container logging, activity tracker deletion, load balancer logging, API key management, or log routing - none address API Connect service logging."
ibm_api_connect_restapi_tracing_enabled,deep_review,,none,"The compliance check is about API Connect REST API tracing, but none of the candidates address API Connect or tracing controls."
ibm_api_connect_restapi_waf_acl_attached,deep_review,,none,"The check name refers to a WAF ACL attached to IBM API Connect, but all candidates are about VPC network ACLs, IAM API keys, or general network ACLs, which are unrelated to web application firewall (WAF) controls for API management."
ibm_api_gateway_api_gateway_https_required,deep_review,ibm.vpc.load_balancer.https_listener_enabled,medium,"Both controls enforce HTTPS/TLS encryption for network traffic, though one is for API Gateway and the other for load balancers."
ibm_apigateway_restapi_cache_encrypted,deep_review,,none,"The check name specifically targets API Gateway REST API cache encryption, but none of the candidates address API Gateway or cache encryption controls."
ibm_apigateway_restapi_client_certificate_enabled,deep_review,,none,"The compliance check is about enabling client certificates for API Gateway REST APIs, but all candidates are unrelated, focusing on certificate expiration, renewal, key strength, or other services."
ibm_apigateway_restapi_logging_enabled,deep_review,ibm.vpc.load_balancer.logging_enabled,medium,"Both controls enforce logging for a specific IBM Cloud service component, though one is for API Gateway REST APIs and the other for VPC load balancers."
ibm_apigateway_restapi_public,deep_review,,none,"The check name is about API Gateway REST APIs being public, but all candidates focus on other services like containers, object storage, VPC, or IAM, with no rule addressing API Gateway public access."
ibm_apigatewayv2_api_access_logging_enabled,deep_review,ibm.vpc.load_balancer.logging_enabled,medium,"Both controls enforce logging for API/network services, though one is specifically for API Gateway V2 and the other for VPC load balancers."
ibm_apikeys_api_restrictions_configured,deep_review,ibm.iam_identity.account.api_key_creation_restricted,medium,"The check name focuses on API key restrictions, and this rule directly addresses restricting API key creation, which aligns with the concept of configuring API restrictions."
ibm_app_function_access_keys_configured,deep_review,,none,"The check name refers to configuring access keys for IBM App Functions, but none of the candidates address access key management or authentication for serverless functions."
ibm_app_function_identity_without_admin_privileges,deep_review,,none,"The compliance check name is about restricting admin privileges for IBM App Function identities, but all candidates focus on unrelated controls like database admin activity, MFA, or session management."
ibm_app_function_not_publicly_accessible,deep_review,ibm.code_engine.app.requires_authentication,medium,"Both controls focus on restricting public access to applications, though one specifies 'not publicly accessible' and the other 'requires authentication' for the same underlying security goal."
ibm_app_http_logs_enabled,deep_review,ibm.containers.cluster.logging_configured,medium,"Both controls focus on enabling logging for IBM services, though one specifies HTTP logs for apps and the other is for cluster logging."
ibm_appstream_fleet_default_internet_access_disabled,deep_review,ibm.vpc.instance.metadata_service_disabled,low,Both controls restrict default access mechanisms but target different services (AppStream fleet internet access vs VPC instance metadata service).
ibm_appsync_field_level_logging_enabled,deep_review,,none,"The compliance check is about AppSync field-level logging, but all candidates are about IBM Cloud services (containers, VPC, logging, IAM, databases) with no AppSync or GraphQL-specific logging controls."
ibm_artifacts_container_analysis_enabled,deep_review,,none,"The check name refers to enabling container analysis (likely vulnerability scanning), but none of the candidates directly address enabling or configuring such a feature."
ibm_athena_workgroup_encryption,deep_review,ibm.object_storage.bucket.encryption_at_rest_enabled,medium,"Both controls enforce encryption at rest for data storage services, though the specific service (Athena vs. Object Storage) differs."
ibm_athena_workgroup_logging_enabled,deep_review,,none,"The compliance check is for Athena workgroup logging, but all candidates are for unrelated IBM services like containers, VPC load balancers, or general logging deletions, with no match for Athena or similar data query logging controls."
ibm_autoscaling_group_capacity_rebalance_enabled,deep_review,,none,"None of the candidates relate to autoscaling group capacity rebalancing, which is a specific feature for managing instance distribution in AWS Auto Scaling groups."
ibm_autoscaling_group_configured,deep_review,,none,"The compliance check name is about autoscaling group configuration, but none of the provided IBM catalog candidates relate to autoscaling or similar scaling controls."
ibm_autoscaling_group_health_check_enabled,deep_review,,none,"The compliance check is about autoscaling group health checks, but all candidates are unrelated to autoscaling, focusing on IAM, VPC security groups, or container registries instead."
ibm_autoscaling_group_multiple_az,deep_review,,none,"None of the candidates relate to autoscaling groups or multi-AZ deployment, which is the core control described by the compliance check name."
ibm_backup_enabled_for_ec2,deep_review,,none,"The check name is about EC2 backup, but all candidates are for IBM databases, containers, certificates, or other services, not EC2 instances."
ibm_backup_plan_configured,deep_review,,none,"The compliance check is about backup plan configuration, but all candidates focus on encryption, point-in-time recovery, or unrelated controls, with no rule addressing backup plan existence or configuration."
ibm_backup_plans_exist,deep_review,,none,"The check name 'ibm_backup_plans_exist' focuses on the existence of backup plans, but none of the candidates address backup plan existence, with the top two only covering backup encryption and point-in-time recovery for databases."
ibm_backup_reportplans_exist,deep_review,,none,"The compliance check 'ibm_backup_reportplans_exist' appears to be about the existence of backup report plans, but none of the candidates address backup reporting or report plan existence specifically."
ibm_backup_vaults_exist,deep_review,,none,"The check name 'ibm_backup_vaults_exist' focuses on the existence of backup vaults, but none of the candidates address backup vaults or similar backup infrastructure directly."
ibm_bedrock_model_invocation_logging_enabled,deep_review,,none,"The compliance check is about IBM Bedrock model invocation logging, but all candidates are for unrelated services like containers, VPC, or general Activity Tracker, with no match for AI/ML model logging."
ibm_bedrock_model_invocation_logs_encryption_enabled,deep_review,,none,"The check name is about encryption of Bedrock model invocation logs, but all candidates are about encryption of storage or data at rest for other services, not specifically logs or Bedrock."
ibm_bigquery_dataset_cmk_encryption,deep_review,ibm.object_storage.bucket.encryption_at_rest_enabled,medium,"Both controls enforce encryption at rest using customer-managed keys (CMK) for cloud storage services, though they apply to different IBM Cloud services (BigQuery vs. Object Storage)."
ibm_bigquery_dataset_public_access,deep_review,ibm.cos.activity.bucket_created_public,medium,"Both controls address preventing public access to cloud storage resources, though one targets BigQuery datasets and the other targets Cloud Object Storage buckets."
ibm_bigquery_table_cmk_encryption,deep_review,ibm.object_storage.bucket.encryption_at_rest_enabled,medium,"Both controls enforce encryption at rest for cloud data storage services, though one is for BigQuery tables with CMK and the other for object storage buckets."
ibm_cdn_distributions_custom_ssl_certificate,deep_review,,none,"The check name is about CDN distributions using custom SSL certificates, but all candidates are unrelated to CDN or custom SSL certificate enforcement."
ibm_cdn_distributions_logging_enabled,deep_review,ibm.vpc.load_balancer.logging_enabled,medium,"Both controls enforce logging for network services, with the CDN check focusing on distributions and the candidate on load balancers, representing the same concept of enabling logging for traffic visibility."
ibm_cdn_distributions_origin_traffic_encrypted,deep_review,,none,"The check name is about CDN origin traffic encryption, but none of the candidates address CDN, traffic encryption, or origin security."
ibm_cdn_distributions_using_deprecated_ssl_protocols,deep_review,,none,"None of the candidates address deprecated SSL protocols for CDN distributions, which is a specific network security control."
ibm_cis_ddos_protection_proxied_status_check,deep_review,,none,"The compliance check name refers to DDoS protection proxied status for IBM CIS, but none of the provided candidates address DDoS protection, proxying, or related network security controls."
ibm_cis_waf_enabled_status_check,deep_review,,none,"The check name is about WAF (Web Application Firewall) enabled status for IBM CIS, but none of the candidates address WAF, web application security, or firewall controls."
ibm_cloud_activity_tracker_logging_configured_per_region,deep_review,,none,"The check name is about configuring Activity Tracker logging per region, but all candidates are about deletion, routing changes, or unrelated services, not the initial configuration requirement."
ibm_cloud_functions_function_restrict_public_access,deep_review,,none,"The compliance check is specifically about IBM Cloud Functions restricting public access, but none of the candidates address Cloud Functions or serverless function access controls."
ibm_cloud_functions_function_url_authentication,deep_review,ibm.code_engine.app.requires_authentication,medium,"Both controls enforce authentication for serverless function endpoints, though they apply to different IBM Cloud services (Cloud Functions vs. Code Engine)."
ibm_cloud_virtual_machine_error_policy_check,deep_review,ibm.scc.audit.policy_violation,medium,"The check name refers to a virtual machine error policy, which aligns with a security policy violation in IBM SCC, though the specific focus on virtual machines is not explicitly stated in the candidate's description."
ibm_cloudant_accelerator_cluster_encryption_enabled,deep_review,ibm.databases.deployment.encryption_at_rest_enabled,high,"Both the check name and the candidate rule specifically address enabling encryption at rest for data storage, which is the same security control."
ibm_cloudant_dedicated_hardware_customer_key_encryption_enabled,deep_review,ibm.databases.deployment.encryption_at_rest_enabled,medium,"Both controls focus on enabling encryption at rest for database services, though the check name specifies Cloudant with customer-managed keys while the rule is a general databases encryption rule."
ibm_cloudant_global_tables_enabled,deep_review,,none,"The check name is about enabling Cloudant global tables, but none of the candidates relate to Cloudant, database replication, or global data distribution."
ibm_cloudant_instance_https_enforcement,deep_review,,none,"The compliance check is about Cloudant HTTPS enforcement, but none of the candidates address HTTPS/TLS enforcement for Cloudant or similar database services."
ibm_cloudant_table_protected_by_backup_plan,deep_review,ibm.databases.backup.encrypted;ibm.databases.backup.pitr_enabled,medium,"Both candidates address database backup protection, though the check name specifically mentions backup plans while the candidates focus on encryption and point-in-time recovery features."
ibm_cloudsql_instance_automated_backups,deep_review,,none,"The check name is about automated backups for Cloud SQL instances, but none of the candidates address backup automation or retention for any database service."
ibm_cloudsql_instance_postgres_log_connections_flag,deep_review,,none,"The check name is about PostgreSQL logging connections, but none of the candidates address database logging or PostgreSQL-specific settings."
ibm_cloudsql_instance_postgres_log_disconnections_flag,deep_review,,none,"The check name is about PostgreSQL log disconnections, but none of the candidates address logging or database configuration controls."
ibm_cloudsql_instance_postgres_log_error_verbosity_flag,deep_review,,none,"The check name is about PostgreSQL log error verbosity, but none of the candidates address logging or database configuration controls."
ibm_cloudsql_instance_postgres_log_min_duration_statement_flag,deep_review,,none,"The compliance check is about PostgreSQL log duration settings, but none of the candidates address database logging or audit configurations."
ibm_cloudsql_instance_postgres_log_min_error_statement_flag,deep_review,,none,"The check name is about PostgreSQL logging configuration, but none of the candidates address database logging or audit settings."
ibm_cloudsql_instance_postgres_log_min_messages_flag,deep_review,,none,"The check name is about PostgreSQL log message levels, but none of the candidates address database logging or PostgreSQL configuration."
ibm_cloudsql_instance_postgres_log_statement_flag,deep_review,,none,"The check name is about PostgreSQL log statement flag configuration, but none of the candidates address database logging or PostgreSQL-specific settings."
ibm_cloudsql_instance_public_access,deep_review,ibm.containers.cluster.public_endpoint_disabled,medium,"Both controls focus on disabling public access to cloud resources, though one is for Cloud SQL instances and the other for Kubernetes clusters."
ibm_code_engine_managed_updates_enabled,deep_review,,none,"The check name is about enabling managed updates for IBM Code Engine, but none of the candidates address update management or patching."
ibm_code_engine_task_definition_logging_enabled,deep_review,ibm.code_engine.project.activity_tracking_configured,medium,"Both controls focus on logging/tracking configuration in IBM Code Engine, though one specifies task definition logging while the other addresses project-level activity tracking."
ibm_codeartifact_packages_external_public_publishing_disabled,deep_review,ibm.object_storage.bucket.no_public_access,medium,"Both controls aim to prevent public exposure of resources, with the check focusing on external public publishing of packages and the candidate on blocking public access to storage buckets."
ibm_codebuild_project_artifact_encryption,deep_review,ibm.object_storage.bucket.encryption_at_rest_enabled,medium,"Both controls enforce encryption at rest for cloud artifacts, though the specific service (CodeBuild vs. Object Storage) differs."
ibm_codebuild_project_cos_logs_encrypted,deep_review,,none,"The compliance check is about CodeBuild project logs being encrypted in COS, but all candidates are either about database backups, COS bucket activities, or unrelated services, with no rule addressing CodeBuild log encryption specifically."
ibm_codebuild_project_envvar_awscred_check,deep_review,,none,"The check name is about AWS CodeBuild environment variables containing AWS credentials, but all candidates are IBM-specific services unrelated to AWS credential exposure."
ibm_codebuild_project_logging_enabled,deep_review,ibm.code_engine.project.activity_tracking_configured,medium,"Both controls focus on enabling logging or activity tracking for a project-level resource, though they target different IBM services (CodeBuild vs. Code Engine)."
ibm_codebuild_project_older_90_days,deep_review,,none,"The compliance check name refers to CodeBuild projects older than 90 days, but none of the candidates address project age or lifecycle management in any IBM service."
