Requirement_ID,Title,Section,Family_Code,Automation_Type,AWS_Checks,Azure_Checks,GCP_Checks,Oracle_Checks,IBM_Checks,Alicloud_Checks,Total_Checks
3_13_5,3_13_5: 3.13.5 Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks,3.13 System and Communications Protection,SC,automated,aws_awslambda_function_not_publicly_accessible; aws_awslambda_function_url_public; aws_ec2_ebs_public_snapshot; aws_ec2_instance_public_ip; aws_ec2_networkacl_allow_ingress_any_port; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; aws_ec2_securitygroup_default_restrict_traffic; aws_elb_ssl_listeners; aws_elbv2_waf_acl_attached; aws_emr_cluster_master_nodes_no_public_ip; aws_opensearch_service_domains_node_to_node_encryption_enabled; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_redshift_cluster_public_access; aws_s3_account_level_public_access_blocks; aws_s3_bucket_policy_public_write_access; aws_s3_bucket_public_access; aws_s3_bucket_secure_transport_policy; aws_sagemaker_notebook_instance_without_direct_internet_access_configured,azure_functions_not_publicly_accessible; azure_functions_url_public; azure_virtual_machines_public_ip; azure_network_acl_allow_ingress_any_port; azure_network_security_group_allow_ingress_from_internet_to_tcp_port_22; azure_network_security_group_default_restrict_traffic; azure_sql_database_no_public_access; azure_sql_snapshots_public_access; azure_synapse_cluster_public_access; azure_storage_account_level_public_access_blocks; azure_storage_blob_public_write_access; azure_storage_blob_public_access; azure_storage_blob_secure_transport_policy; azure_ml_notebook_instance_without_direct_internet_access_configured,gcp_cloudfunctions_not_publicly_accessible; gcp_cloudfunctions_url_public; gcp_compute_instance_public_ip; gcp_compute_network_acl_allow_ingress_any_port; gcp_compute_firewall_allow_ingress_from_internet_to_tcp_port_22; gcp_compute_firewall_default_restrict_traffic; gcp_compute_instance_no_public_ip; gcp_cloudsql_instance_no_public_access; gcp_cloudsql_snapshots_public_access; gcp_bigquery_cluster_public_access; gcp_storage_account_level_public_access_blocks; gcp_storage_bucket_policy_public_write_access; gcp_storage_bucket_public_access; gcp_storage_bucket_secure_transport_policy; gcp_vertex_ai_notebook_instance_without_direct_internet_access_configured,oracle_awslambda_function_not_publicly_accessible; oracle_awslambda_function_url_public; oracle_compute_ebs_public_snapshot; oracle_compute_instance_public_ip; oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_compute_securitygroup_default_restrict_traffic; oracle_database_instance_no_public_access; oracle_database_snapshots_public_access; oracle_elb_ssl_listeners; oracle_elbv2_waf_acl_attached; oracle_emr_cluster_master_nodes_no_public_ip; oracle_object_storage_account_level_public_access_blocks; oracle_object_storage_bucket_policy_public_write_access; oracle_object_storage_bucket_public_access; oracle_object_storage_bucket_secure_transport_policy; oracle_opensearch_service_domains_node_to_node_encryption_enabled; oracle_redshift_cluster_public_access; oracle_sagemaker_notebook_instance_without_direct_internet_access_configured,ibm_awslambda_function_not_publicly_accessible; ibm_awslambda_function_url_public; ibm_cos_account_level_public_access_blocks; ibm_cos_bucket_policy_public_write_access; ibm_cos_bucket_public_access; ibm_cos_bucket_secure_transport_policy; ibm_database_instance_no_public_access; ibm_database_snapshots_public_access; ibm_elb_ssl_listeners; ibm_elbv2_waf_acl_attached; ibm_emr_cluster_master_nodes_no_public_ip; ibm_opensearch_service_domains_node_to_node_encryption_enabled; ibm_redshift_cluster_public_access; ibm_sagemaker_notebook_instance_without_direct_internet_access_configured; ibm_vsi_ebs_public_snapshot; ibm_vsi_instance_public_ip; ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22; ibm_vsi_securitygroup_default_restrict_traffic,alicloud_awslambda_function_not_publicly_accessible; alicloud_awslambda_function_url_public; alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_public_ip; alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_ecs_securitygroup_default_restrict_traffic; alicloud_elb_ssl_listeners; alicloud_elbv2_waf_acl_attached; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_opensearch_service_domains_node_to_node_encryption_enabled; alicloud_oss_account_level_public_access_blocks; alicloud_oss_bucket_policy_public_write_access; alicloud_oss_bucket_public_access; alicloud_oss_bucket_secure_transport_policy; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access; alicloud_redshift_cluster_public_access; alicloud_sagemaker_notebook_instance_without_direct_internet_access_configured,105
3_13_6,"3_13_6: 3.13.6 Deny network communications traffic by default and allow network communications traffic by exception (i.e., deny all, permit by exception)",3.13 System and Communications Protection,SC,automated,aws_ec2_networkacl_allow_ingress_any_port; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22,azure_virtualmachines_networkacl_allow_ingress_any_port; azure_networksecuritygroup_allow_ingress_from_internet_to_tcp_port_22,gcp_compute_networkacl_allow_ingress_any_port; gcp_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22,oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22,ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22,alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22,12
3_13_8,3_13_8: 3.13.8 Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards,3.13 System and Communications Protection,SC,automated,aws_acm_certificates_expiration_check; aws_elb_ssl_listeners; aws_opensearch_service_domains_node_to_node_encryption_enabled; aws_s3_bucket_secure_transport_policy,azure_keyvault_encryption_enabled; azure_vm_ssl_enabled; azure_storage_secure_transport_policy; azure_search_node_to_node_encryption_enabled,gcp_kms_encryption_enabled; gcp_compute_ssl_enabled; gcp_storage_secure_transport_policy; gcp_opensearch_node_to_node_encryption_enabled,oracle_acm_certificates_expiration_check; oracle_elb_ssl_listeners; oracle_object_storage_bucket_secure_transport_policy; oracle_opensearch_service_domains_node_to_node_encryption_enabled,ibm_acm_certificates_expiration_check; ibm_cos_bucket_secure_transport_policy; ibm_elb_ssl_listeners; ibm_opensearch_service_domains_node_to_node_encryption_enabled,alicloud_acm_certificates_expiration_check; alicloud_elb_ssl_listeners; alicloud_opensearch_service_domains_node_to_node_encryption_enabled; alicloud_oss_bucket_secure_transport_policy,24
3_14_1,"3_14_1: 3.14.1 Identify, report, and correct system flaws in a timely manner",3.14 System and Information integrity,SI,automated,aws_guardduty_is_enabled; aws_securityhub_enabled,azure_monitor_enabled; microsoft_defender_enabled,gcp_security_command_center_enabled; gcp_logging_enabled,oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled,ibm_security_advisor_enabled; ibm_security_advisor_is_enabled,alicloud_security_center_enabled; alicloud_threat_detection_is_enabled,12
3_14_2,3_14_2: 3.14.2 Provide protection from malicious code at designated locations within organizational systems,3.14 System and Information integrity,SI,automated,aws_ec2_instance_managed_by_ssm; aws_guardduty_is_enabled; aws_securityhub_enabled; aws_ssm_managed_compliant_patching,azure_vm_ssm_enabled; microsoft_defender_enabled; azure_monitor_enabled; automation_patch_compliance,gcp_compute_engine_ssm_enabled; gcp_security_command_center_enabled; gcp_logging_enabled; gcp_ssm_patch_compliance,oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_compute_instance_managed_by_ssm; oracle_ssm_managed_compliant_patching,ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_ssm_managed_compliant_patching; ibm_vsi_instance_managed_by_ssm,alicloud_ecs_instance_managed_by_ssm; alicloud_security_center_enabled; alicloud_ssm_managed_compliant_patching; alicloud_threat_detection_is_enabled,24
3_14_3,3_14_3: 3.14.3 Monitor system security alerts and advisories and take action in response,3.14 System and Information integrity,SI,automated,aws_guardduty_is_enabled; aws_securityhub_enabled; aws_ssm_managed_compliant_patching,azure_defender_enabled; azure_monitor_enabled; azure_keyvault_enabled,gcp_security_command_center_enabled; gcp_logging_enabled; gcp_secret_manager_enabled,oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_ssm_managed_compliant_patching,ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_ssm_managed_compliant_patching,alicloud_security_center_enabled; alicloud_ssm_managed_compliant_patching; alicloud_threat_detection_is_enabled,18
3_14_4,3_14_4: 3.14.4 Update malicious code protection mechanisms when new releases are available,3.14 System and Information integrity,SI,automated,aws_guardduty_is_enabled,azure_monitor_enabled,gcp_securitycommandcenter_enabled,oracle_cloud_guard_is_enabled,ibm_security_advisor_is_enabled,alicloud_threat_detection_is_enabled,6
3_14_6,"3_14_6: 3.14.6 Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks",3.14 System and Information integrity,SI,automated,aws_apigateway_restapi_logging_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_elb_logging_enabled; aws_elbv2_logging_enabled; aws_guardduty_is_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_s3_bucket_server_access_logging_enabled; aws_securityhub_enabled; aws_vpc_flow_logs_enabled,azure_monitor_enabled; azure_monitor_multi_region_enabled; azure_monitor_s3_dataevents_read_enabled; azure_monitor_s3_dataevents_write_enabled; azure_load_balancer_logging_enabled; azure_load_balancer_v2_logging_enabled; azure_defender_enabled; azure_sql_instance_integration_monitoring_enabled; azure_storage_blob_logging_enabled; azure_defender_enabled; azure_virtual_network_flow_logs_enabled,gcp_logging_enabled; gcp_logging_multi_region_enabled; gcp_logging_s3_dataevents_read_enabled; gcp_logging_s3_dataevents_write_enabled; gcp_load_balancing_logging_enabled; gcp_load_balancing_v2_logging_enabled; gcp_security_command_center_enabled; gcp_sql_instance_integration_logging_enabled; gcp_storage_bucket_logging_enabled; gcp_security_command_center_enabled; gcp_vpc_flow_logs_enabled,oracle_apigateway_restapi_logging_enabled; oracle_audit_multi_region_enabled; oracle_audit_s3_dataevents_read_enabled; oracle_audit_s3_dataevents_write_enabled; oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_database_instance_integration_cloudwatch_logs; oracle_elb_logging_enabled; oracle_elbv2_logging_enabled; oracle_object_storage_bucket_server_access_logging_enabled; oracle_vcn_flow_logs_enabled,ibm_activity_tracker_multi_region_enabled; ibm_activity_tracker_s3_dataevents_read_enabled; ibm_activity_tracker_s3_dataevents_write_enabled; ibm_apigateway_restapi_logging_enabled; ibm_cos_bucket_server_access_logging_enabled; ibm_database_instance_integration_cloudwatch_logs; ibm_elb_logging_enabled; ibm_elbv2_logging_enabled; ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_vpc_flow_logs_enabled,alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_s3_dataevents_read_enabled; alicloud_actiontrail_s3_dataevents_write_enabled; alicloud_apigateway_restapi_logging_enabled; alicloud_elb_logging_enabled; alicloud_elbv2_logging_enabled; alicloud_oss_bucket_server_access_logging_enabled; alicloud_rds_instance_integration_cloudwatch_logs; alicloud_security_center_enabled; alicloud_threat_detection_is_enabled; alicloud_vpc_flow_logs_enabled,66
3_14_7,3_14_7: 3.14.7 Identify unauthorized use of organizational systems,3.14 System and Information integrity,SI,automated,aws_apigateway_restapi_logging_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_elb_logging_enabled; aws_elbv2_logging_enabled; aws_guardduty_is_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_s3_bucket_server_access_logging_enabled; aws_securityhub_enabled; aws_vpc_flow_logs_enabled,azure_monitor_enabled; azure_monitor_multi_region_enabled; azure_monitor_s3_dataevents_read_enabled; azure_monitor_s3_dataevents_write_enabled; azure_monitor_elb_enabled; azure_monitor_elbv2_enabled; azure_defender_enabled; azure_sql_instance_integration_logging_enabled; azure_storage_blob_logging_enabled; azure_defender_enabled; azure_virtual_network_flow_logs_enabled,gcp_logging_enabled; gcp_logging_multi_region_enabled; gcp_logging_s3_dataevents_read_enabled; gcp_logging_s3_dataevents_write_enabled; gcp_logging_elb_enabled; gcp_logging_elbv2_enabled; gcp_guardduty_enabled; gcp_sql_instance_integration_logging_enabled; gcp_storage_bucket_logging_enabled; gcp_security_command_center_enabled; gcp_vpc_flow_logs_enabled,oracle_apigateway_restapi_logging_enabled; oracle_audit_multi_region_enabled; oracle_audit_s3_dataevents_read_enabled; oracle_audit_s3_dataevents_write_enabled; oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_database_instance_integration_cloudwatch_logs; oracle_elb_logging_enabled; oracle_elbv2_logging_enabled; oracle_object_storage_bucket_server_access_logging_enabled; oracle_vcn_flow_logs_enabled,ibm_activity_tracker_multi_region_enabled; ibm_activity_tracker_s3_dataevents_read_enabled; ibm_activity_tracker_s3_dataevents_write_enabled; ibm_apigateway_restapi_logging_enabled; ibm_cos_bucket_server_access_logging_enabled; ibm_database_instance_integration_cloudwatch_logs; ibm_elb_logging_enabled; ibm_elbv2_logging_enabled; ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_vpc_flow_logs_enabled,alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_s3_dataevents_read_enabled; alicloud_actiontrail_s3_dataevents_write_enabled; alicloud_apigateway_restapi_logging_enabled; alicloud_elb_logging_enabled; alicloud_elbv2_logging_enabled; alicloud_oss_bucket_server_access_logging_enabled; alicloud_rds_instance_integration_cloudwatch_logs; alicloud_security_center_enabled; alicloud_threat_detection_is_enabled; alicloud_vpc_flow_logs_enabled,66
3_1_1,"3_1_1: 3.1.1 Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems)",3.1 Access Control,AC,automated,aws_awslambda_function_not_publicly_accessible; aws_awslambda_function_url_public; aws_ec2_ebs_public_snapshot; aws_ec2_instance_profile_attached; aws_ec2_instance_public_ip; aws_ec2_networkacl_allow_ingress_any_port; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; aws_ec2_securitygroup_default_restrict_traffic; aws_eks_cluster_not_publicly_accessible; aws_emr_cluster_master_nodes_no_public_ip; aws_iam_aws_attached_policy_no_administrative_privileges; aws_iam_customer_attached_policy_no_administrative_privileges; aws_iam_inline_policy_no_administrative_privileges; aws_iam_no_root_access_key; aws_iam_root_hardware_mfa_enabled; aws_iam_root_mfa_enabled; aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused; aws_iam_user_mfa_enabled_console_access; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_redshift_cluster_public_access; aws_s3_account_level_public_access_blocks; aws_s3_bucket_policy_public_write_access; aws_s3_bucket_public_access; aws_sagemaker_notebook_instance_without_direct_internet_access_configured,azure_functions_not_publicly_accessible; azure_functions_url_public; azure_vm_public_ip; azure_vm_identity_attached; azure_network_acl_allow_ingress_any_port; azure_network_security_group_allow_ingress_from_internet_to_tcp_port_22; azure_network_security_group_default_restrict_traffic; azure_aks_cluster_not_publicly_accessible; azure_hdinsight_cluster_master_nodes_no_public_ip; azure_ad_role_no_administrative_privileges; azure_ad_customer_attached_policy_no_administrative_privileges; azure_ad_inline_policy_no_administrative_privileges; azure_ad_no_root_access_key; azure_ad_root_hardware_mfa_enabled; azure_ad_root_mfa_enabled; azure_ad_user_accesskey_unused; azure_ad_user_console_access_unused; azure_ad_user_mfa_enabled_console_access; azure_sql_instance_no_public_access; azure_sql_snapshots_public_access; azure_synapse_cluster_public_access; azure_storage_account_level_public_access_blocks; azure_storage_blob_public_write_access; azure_storage_blob_public_access; azure_ml_notebook_instance_without_direct_internet_access_configured,gcp_cloudfunctions_not_publicly_accessible; gcp_cloudfunctions_url_public; gcp_compute_instance_public_ip; gcp_compute_instance_service_account_attached; gcp_compute_network_acl_allow_ingress_any_port; gcp_compute_firewall_allow_ingress_from_internet_to_tcp_port_22; gcp_compute_firewall_default_restrict_traffic; gcp_gke_cluster_not_publicly_accessible; gcp_dataproc_cluster_master_nodes_no_public_ip; gcp_iam_service_account_no_administrative_privileges; gcp_iam_customer_attached_policy_no_administrative_privileges; gcp_iam_inline_policy_no_administrative_privileges; gcp_iam_no_root_access_key; gcp_iam_root_hardware_mfa_enabled; gcp_iam_root_mfa_enabled; gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused; gcp_iam_user_mfa_enabled_console_access; gcp_sql_instance_no_public_access; gcp_sql_snapshots_public_access; gcp_bigquery_cluster_public_access; gcp_storage_account_level_public_access_blocks; gcp_storage_bucket_policy_public_write_access; gcp_storage_bucket_public_access; gcp_ai_notebook_instance_without_direct_internet_access_configured,oracle_awslambda_function_not_publicly_accessible; oracle_awslambda_function_url_public; oracle_compute_ebs_public_snapshot; oracle_compute_instance_profile_attached; oracle_compute_instance_public_ip; oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_compute_securitygroup_default_restrict_traffic; oracle_database_instance_no_public_access; oracle_database_snapshots_public_access; oracle_eks_cluster_not_publicly_accessible; oracle_emr_cluster_master_nodes_no_public_ip; oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges; oracle_identity_no_root_access_key; oracle_identity_root_hardware_mfa_enabled; oracle_identity_root_mfa_enabled; oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused; oracle_identity_user_mfa_enabled_console_access; oracle_object_storage_account_level_public_access_blocks; oracle_object_storage_bucket_policy_public_write_access; oracle_object_storage_bucket_public_access; oracle_redshift_cluster_public_access; oracle_sagemaker_notebook_instance_without_direct_internet_access_configured,ibm_awslambda_function_not_publicly_accessible; ibm_awslambda_function_url_public; ibm_cos_account_level_public_access_blocks; ibm_cos_bucket_policy_public_write_access; ibm_cos_bucket_public_access; ibm_database_instance_no_public_access; ibm_database_snapshots_public_access; ibm_eks_cluster_not_publicly_accessible; ibm_emr_cluster_master_nodes_no_public_ip; ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges; ibm_iam_no_root_access_key; ibm_iam_root_hardware_mfa_enabled; ibm_iam_root_mfa_enabled; ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused; ibm_iam_user_mfa_enabled_console_access; ibm_redshift_cluster_public_access; ibm_sagemaker_notebook_instance_without_direct_internet_access_configured; ibm_vsi_ebs_public_snapshot; ibm_vsi_instance_profile_attached; ibm_vsi_instance_public_ip; ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22; ibm_vsi_securitygroup_default_restrict_traffic,alicloud_awslambda_function_not_publicly_accessible; alicloud_awslambda_function_url_public; alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_profile_attached; alicloud_ecs_instance_public_ip; alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_ecs_securitygroup_default_restrict_traffic; alicloud_eks_cluster_not_publicly_accessible; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_oss_account_level_public_access_blocks; alicloud_oss_bucket_policy_public_write_access; alicloud_oss_bucket_public_access; alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges; alicloud_ram_no_root_access_key; alicloud_ram_root_hardware_mfa_enabled; alicloud_ram_root_mfa_enabled; alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused; alicloud_ram_user_mfa_enabled_console_access; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access; alicloud_redshift_cluster_public_access; alicloud_sagemaker_notebook_instance_without_direct_internet_access_configured,154
3_1_12,3_1_12: 3.1.12 Monitor and control remote access sessions,3.1 Access Control,AC,automated,aws_apigateway_restapi_logging_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_elb_logging_enabled; aws_elbv2_logging_enabled; aws_guardduty_is_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_s3_bucket_server_access_logging_enabled; aws_securityhub_enabled,azure_monitor_enabled; azure_monitor_multi_region_enabled; azure_monitor_s3_dataevents_read_enabled; azure_monitor_s3_dataevents_write_enabled; azure_load_balancer_logging_enabled; azure_load_balancer_v2_logging_enabled; azure_defender_enabled; azure_sql_instance_integration_monitoring_enabled; azure_storage_blob_server_access_logging_enabled; azure_security_center_enabled,gcp_logging_enabled; gcp_logging_multi_region_enabled; gcp_logging_s3_dataevents_read_enabled; gcp_logging_s3_dataevents_write_enabled; gcp_load_balancing_logging_enabled; gcp_load_balancing_v2_logging_enabled; gcp_guardduty_enabled; gcp_sql_instance_integration_logging_enabled; gcp_storage_bucket_server_access_logging_enabled; gcp_security_command_center_enabled,oracle_apigateway_restapi_logging_enabled; oracle_audit_multi_region_enabled; oracle_audit_s3_dataevents_read_enabled; oracle_audit_s3_dataevents_write_enabled; oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_database_instance_integration_cloudwatch_logs; oracle_elb_logging_enabled; oracle_elbv2_logging_enabled; oracle_object_storage_bucket_server_access_logging_enabled,ibm_activity_tracker_multi_region_enabled; ibm_activity_tracker_s3_dataevents_read_enabled; ibm_activity_tracker_s3_dataevents_write_enabled; ibm_apigateway_restapi_logging_enabled; ibm_cos_bucket_server_access_logging_enabled; ibm_database_instance_integration_cloudwatch_logs; ibm_elb_logging_enabled; ibm_elbv2_logging_enabled; ibm_security_advisor_enabled; ibm_security_advisor_is_enabled,alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_s3_dataevents_read_enabled; alicloud_actiontrail_s3_dataevents_write_enabled; alicloud_apigateway_restapi_logging_enabled; alicloud_elb_logging_enabled; alicloud_elbv2_logging_enabled; alicloud_oss_bucket_server_access_logging_enabled; alicloud_rds_instance_integration_cloudwatch_logs; alicloud_security_center_enabled; alicloud_threat_detection_is_enabled,60
3_1_13,3_1_13: 3.1.13 Employ cryptographic mechanisms to protect the confidentiality of remote access sessions,3.1 Access Control,AC,automated,aws_elb_ssl_listeners; aws_s3_bucket_secure_transport_policy,azure_vm_ssl_enabled; azure_storage_secure_transport_policy,gcp_compute_ssl_enabled; gcp_storage_secure_transport_policy,oracle_elb_ssl_listeners; oracle_object_storage_bucket_secure_transport_policy,ibm_cos_bucket_secure_transport_policy; ibm_elb_ssl_listeners,alicloud_elb_ssl_listeners; alicloud_oss_bucket_secure_transport_policy,12
3_1_14,3_1_14: 3.1.14 Route remote access via managed access control points,3.1 Access Control,AC,automated,aws_awslambda_function_not_publicly_accessible; aws_awslambda_function_url_public; aws_ec2_ebs_public_snapshot; aws_ec2_instance_public_ip; aws_ec2_networkacl_allow_ingress_any_port; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; aws_ec2_securitygroup_default_restrict_traffic; aws_iam_user_mfa_enabled_console_access; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_redshift_cluster_public_access; aws_s3_account_level_public_access_blocks; aws_sagemaker_notebook_instance_without_direct_internet_access_configured,azure_functions_not_publicly_accessible; azure_functions_url_public; azure_virtual_machines_public_ip; azure_network_acl_allow_ingress_any_port; azure_network_security_group_allow_ingress_from_internet_to_tcp_port_22; azure_network_security_group_default_restrict_traffic; azure_entra_user_mfa_enabled_console_access; azure_sql_database_no_public_access; azure_sql_snapshots_public_access; azure_synapse_cluster_public_access; azure_storage_account_level_public_access_blocks; azure_ml_notebook_instance_without_direct_internet_access_configured,gcp_cloudfunctions_not_publicly_accessible; gcp_cloudfunctions_url_public; gcp_compute_instance_public_ip; gcp_compute_network_acl_allow_ingress_any_port; gcp_compute_firewall_allow_ingress_from_internet_to_tcp_port_22; gcp_compute_firewall_default_restrict_traffic; gcp_iam_user_mfa_enabled_console_access; gcp_sql_instance_no_public_access; gcp_sql_snapshots_public_access; gcp_bigquery_cluster_public_access; gcp_storage_account_level_public_access_blocks; gcp_vertex_ai_notebook_instance_without_direct_internet_access_configured,oracle_awslambda_function_not_publicly_accessible; oracle_awslambda_function_url_public; oracle_compute_ebs_public_snapshot; oracle_compute_instance_public_ip; oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_compute_securitygroup_default_restrict_traffic; oracle_database_instance_no_public_access; oracle_database_snapshots_public_access; oracle_identity_user_mfa_enabled_console_access; oracle_object_storage_account_level_public_access_blocks; oracle_redshift_cluster_public_access; oracle_sagemaker_notebook_instance_without_direct_internet_access_configured,ibm_awslambda_function_not_publicly_accessible; ibm_awslambda_function_url_public; ibm_cos_account_level_public_access_blocks; ibm_database_instance_no_public_access; ibm_database_snapshots_public_access; ibm_iam_user_mfa_enabled_console_access; ibm_redshift_cluster_public_access; ibm_sagemaker_notebook_instance_without_direct_internet_access_configured; ibm_vsi_ebs_public_snapshot; ibm_vsi_instance_public_ip; ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22; ibm_vsi_securitygroup_default_restrict_traffic,alicloud_awslambda_function_not_publicly_accessible; alicloud_awslambda_function_url_public; alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_public_ip; alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_ecs_securitygroup_default_restrict_traffic; alicloud_oss_account_level_public_access_blocks; alicloud_ram_user_mfa_enabled_console_access; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access; alicloud_redshift_cluster_public_access; alicloud_sagemaker_notebook_instance_without_direct_internet_access_configured,76
