rule_id,provider,service,category,severity,title,description,check_type,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,action_category,posture_category,source_file
ibm.iam.activity.service_id_locked,ibm,iam,iam,high,IBM IAM: Service ID Locked or Unlocked,An IBM Cloud Service ID was locked or unlocked. Unlocking a service ID that was locked for security reasons re-enables compromised credentials.,log,defense_evasion,defense_evasion,T1562,72,logging_monitoring_and_alerting,modify,security_posture,ibm_rule_ciem/iam/ibm.iam.activity.service_id_locked.yaml
ibm.iam.activity.trusted_profile_change,ibm,iam,iam,critical,IBM IAM: Trusted Profile Modified,"An IBM Cloud Trusted Profile was created, updated, or had a claim rule modified. Trusted profiles allow compute resources or federated users to assume IBM Cloud identities without API keys.",log,privilege_escalation,privilege_escalation;initial_access,T1078,90,identity_and_access_management,modify,iam_posture,ibm_rule_ciem/iam/ibm.iam.activity.trusted_profile_change.yaml
ibm.iks.activity.cluster_config_update,ibm,iks,iks,high,IBM IKS: Cluster Configuration Updated,"An IKS cluster configuration was updated (e.g., public endpoint enabled, audit log config changed). Security-weakening config changes expand the attack surface.",log,defense_evasion,defense_evasion,T1562,78,logging_monitoring_and_alerting,modify,security_posture,ibm_rule_ciem/iks/ibm.iks.activity.cluster_config_update.yaml
ibm.iks.activity.cluster_deleted,ibm,iks,iks,critical,IBM IKS: Kubernetes Cluster Deleted,An IBM Kubernetes Service cluster was deleted. Cluster deletion terminates all workloads and is an irreversible destructive action.,log,impact,impact,T1485,95,impact,delete,workload_posture,ibm_rule_ciem/iks/ibm.iks.activity.cluster_deleted.yaml
ibm.iks.k8s_audit.daemonset_created,ibm,iks,iks,critical,IBM IKS: DaemonSet Created,A Kubernetes DaemonSet was created in an IKS cluster. DaemonSets run on all nodes and are used by attackers to deploy malware with cluster-wide persistence.,log,persistence,persistence,T1610,88,container_and_kubernetes_security,create,iam_posture,ibm_rule_ciem/iks/ibm.iks.k8s_audit.daemonset_created.yaml
ibm.iks.k8s_audit.namespace_change,ibm,iks,iks,medium,IBM IKS: Namespace Created or Deleted,A Kubernetes namespace was created or deleted. Attackers create namespaces to deploy malicious workloads in isolated contexts that bypass monitoring.,log,defense_evasion,defense_evasion,T1036,65,container_and_kubernetes_security,modify,security_posture,ibm_rule_ciem/iks/ibm.iks.k8s_audit.namespace_change.yaml
ibm.iks.k8s_audit.pod_exec,ibm,iks,iks,high,IBM IKS: kubectl exec / attach into Pod,An interactive exec or attach session was opened into a running pod in an IKS cluster. Used for post-exploitation reconnaissance.,log,execution,execution,T1609,80,container_and_kubernetes_security,execute,workload_posture,ibm_rule_ciem/iks/ibm.iks.k8s_audit.pod_exec.yaml
ibm.iks.k8s_audit.privileged_pod,ibm,iks,iks,critical,IBM IKS: Privileged Pod Created,A privileged Kubernetes pod was created in an IKS cluster. Privileged pods have host-level access and can be used for container escapes.,log,privilege_escalation,privilege_escalation,T1611,93,container_and_kubernetes_security,privilege_escalation,iam_posture,ibm_rule_ciem/iks/ibm.iks.k8s_audit.privileged_pod.yaml
ibm.iks.k8s_audit.role_deleted,ibm,iks,iks,high,IBM IKS: RBAC Role or ClusterRole Deleted,A RBAC Role or ClusterRole was deleted from an IKS cluster. Deletion of built-in roles disrupts legitimate access and may be evidence of sabotage.,log,impact,impact,T1531,78,container_and_kubernetes_security,delete,workload_posture,ibm_rule_ciem/iks/ibm.iks.k8s_audit.role_deleted.yaml
ibm.iks.k8s_audit.rolebinding_change,ibm,iks,iks,critical,IBM IKS: RBAC RoleBinding Created or Modified,A Kubernetes RBAC RoleBinding or ClusterRoleBinding was created or modified. Unauthorized bindings grant persistent access to cluster resources.,log,privilege_escalation,privilege_escalation,T1548,90,container_and_kubernetes_security,modify,iam_posture,ibm_rule_ciem/iks/ibm.iks.k8s_audit.rolebinding_change.yaml
ibm.iks.k8s_audit.secret_accessed,ibm,iks,iks,high,IBM IKS: Kubernetes Secret Accessed,A Kubernetes Secret was accessed (get/list/watch) in an IKS cluster. Secrets contain credentials and API tokens; unauthorized reads indicate harvesting.,log,credential_access,credential_access,T1552,78,container_and_kubernetes_security,read,iam_posture,ibm_rule_ciem/iks/ibm.iks.k8s_audit.secret_accessed.yaml
ibm.iks.k8s_audit.secret_modified,ibm,iks,iks,critical,IBM IKS: Kubernetes Secret Modified,"A Kubernetes Secret was created, updated, or patched in an IKS cluster. Attackers modify secrets to inject backdoor credentials or hijack service account tokens.",log,persistence,persistence,T1098,90,container_and_kubernetes_security,create,iam_posture,ibm_rule_ciem/iks/ibm.iks.k8s_audit.secret_modified.yaml
ibm.iks.k8s_audit.webhook_change,ibm,iks,iks,critical,IBM IKS: Admission Webhook Modified,A Kubernetes ValidatingWebhookConfiguration or MutatingWebhookConfiguration was modified in an IKS cluster. Malicious webhooks can intercept or modify all API server requests.,log,persistence,persistence,T1505,93,container_and_kubernetes_security,modify,iam_posture,ibm_rule_ciem/iks/ibm.iks.k8s_audit.webhook_change.yaml
ibm.kms.activity.key_protect_key_accessed,ibm,kms,kms,high,IBM Key Protect: Key Material Accessed,An IBM Key Protect key was used to wrap or unwrap data. Unexpected decrypt operations may indicate unauthorized data access.,log,credential_access,credential_access,T1552,72,identity_and_access_management,read,iam_posture,ibm_rule_ciem/kms/ibm.kms.activity.key_protect_key_accessed.yaml
ibm.kms.activity.key_protect_key_delete,ibm,kms,kms,critical,IBM Key Protect: Encryption Key Deleted,An IBM Key Protect encryption key was deleted. Data encrypted with this key is permanently inaccessible after deletion — a critical impact event.,log,impact,impact,T1486,98,impact,delete,workload_posture,ibm_rule_ciem/kms/ibm.kms.activity.key_protect_key_delete.yaml
ibm.kms.activity.key_protect_key_disable,ibm,kms,kms,high,IBM Key Protect: Encryption Key Disabled,"An IBM Key Protect key was disabled. Disabling keys causes decryption failures for services relying on the key, potentially causing outages.",log,impact,impact,T1531,85,impact,delete,workload_posture,ibm_rule_ciem/kms/ibm.kms.activity.key_protect_key_disable.yaml
ibm.logging.activity.activity_tracker_delete,ibm,logging,logging,critical,IBM Logging: Activity Tracker Instance Deleted,An IBM Cloud Activity Tracker instance was deleted. Activity Tracker is the primary audit logging service; its deletion removes visibility into all account activity.,log,defense_evasion,defense_evasion,T1562,97,logging_monitoring_and_alerting,delete,security_posture,ibm_rule_ciem/logging/ibm.logging.activity.activity_tracker_delete.yaml
ibm.logging.activity.log_routing_changed,ibm,logging,logging,high,IBM Logging: Activity Tracker Route or Target Changed,"An Activity Tracker routing rule or target was modified. Changing log routes may stop forwarding audit logs to your SIEM, blinding threat detection.",log,defense_evasion,defense_evasion,T1562,85,logging_monitoring_and_alerting,modify,security_posture,ibm_rule_ciem/logging/ibm.logging.activity.log_routing_changed.yaml
ibm.scc.audit.compliance_violation,ibm,scc,scc,high,IBM SCC: Compliance Profile Violation,A compliance profile control failure was reported by IBM SCC. Control failures represent persistent misconfigurations against frameworks such as CIS IBM Cloud Foundations.,log,initial_access,initial_access,T1190,72,threat_detection,create,threat_posture,ibm_rule_ciem/scc/ibm.scc.audit.compliance_violation.yaml
ibm.scc.audit.config_drift,ibm,scc,scc,medium,IBM SCC: Configuration Drift Detected,IBM SCC detected configuration drift from a previously compliant baseline. Drift may indicate unauthorized infrastructure changes.,log,defense_evasion,defense_evasion,T1562,65,logging_monitoring_and_alerting,modify,security_posture,ibm_rule_ciem/scc/ibm.scc.audit.config_drift.yaml
ibm.scc.audit.critical_finding,ibm,scc,scc,critical,IBM SCC: Critical Security Finding Detected,IBM Security and Compliance Center detected a critical-severity finding. Critical findings indicate active threats or critical misconfigurations.,log,initial_access,initial_access,T1190,95,threat_detection,create,threat_posture,ibm_rule_ciem/scc/ibm.scc.audit.critical_finding.yaml
ibm.scc.audit.high_finding,ibm,scc,scc,high,IBM SCC: High-Severity Security Finding,IBM SCC detected a high-severity security finding requiring investigation.,log,initial_access,initial_access,T1190,78,threat_detection,create,threat_posture,ibm_rule_ciem/scc/ibm.scc.audit.high_finding.yaml
ibm.scc.audit.policy_violation,ibm,scc,scc,high,IBM SCC: Security Policy Violation,A custom security policy defined in IBM SCC was violated.,log,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,modify,security_posture,ibm_rule_ciem/scc/ibm.scc.audit.policy_violation.yaml
ibm.scc.audit.posture_degradation,ibm,scc,scc,high,IBM SCC: Security Posture Score Degraded,"The overall IBM SCC security posture score degraded significantly, indicating multiple new failures or a systemic configuration change.",log,defense_evasion,defense_evasion,T1562,72,logging_monitoring_and_alerting,modify,security_posture,ibm_rule_ciem/scc/ibm.scc.audit.posture_degradation.yaml
ibm.secrets.activity.secrets_manager_change,ibm,secrets,secrets,high,IBM Secrets Manager: Secret Deleted or Modified,"An IBM Secrets Manager secret was deleted, rotated, or had its access policy modified. Secret deletion causes authentication failures for dependent applications.",log,impact,impact;credential_access,T1531,80,cryptography_and_key_management,modify,workload_posture,ibm_rule_ciem/secrets/ibm.secrets.activity.secrets_manager_change.yaml
ibm.vpc.activity.floating_ip_change,ibm,vpc,vpc,medium,IBM VPC: Floating IP Address Assigned,A floating (public) IP was associated with a compute instance. Public IPs expose instances to direct internet access.,log,initial_access,initial_access,T1190,65,network_security_and_connectivity,modify,threat_posture,ibm_rule_ciem/vpc/ibm.vpc.activity.floating_ip_change.yaml
ibm.vpc.activity.network_acl_change,ibm,vpc,vpc,high,IBM VPC: Network ACL Modified,A VPC network ACL rule was modified. Network ACLs control subnet-level traffic; permissive changes affect all instances in a subnet.,log,defense_evasion,defense_evasion,T1562,76,network_security_and_connectivity,modify,security_posture,ibm_rule_ciem/vpc/ibm.vpc.activity.network_acl_change.yaml
ibm.vpc.activity.public_gateway_change,ibm,vpc,vpc,high,IBM VPC: Public Gateway Created or Deleted,A VPC public gateway was created or deleted. Creating a public gateway exposes private subnet resources to the internet; deleting one breaks outbound connectivity.,log,defense_evasion,defense_evasion,T1562,78,network_security_and_connectivity,modify,security_posture,ibm_rule_ciem/vpc/ibm.vpc.activity.public_gateway_change.yaml
ibm.vpc.activity.security_group_rule_change,ibm,vpc,vpc,high,IBM VPC: Security Group Rule Modified,"A VPC security group rule was added, updated, or deleted. Overly permissive rules (0.0.0.0/0 inbound) open compute resources to external attacks.",log,defense_evasion,defense_evasion;initial_access,T1562,80,network_security_and_connectivity,modify,security_posture,ibm_rule_ciem/vpc/ibm.vpc.activity.security_group_rule_change.yaml
ibm.vpc.activity.vpc_change,ibm,vpc,vpc,medium,IBM VPC: VPC Created or Deleted,An IBM VPC was created or deleted. Unauthorized VPC changes reshape network topology and may expose private resources.,log,lateral_movement,lateral_movement,T1599,65,network_security_and_connectivity,modify,network_posture,ibm_rule_ciem/vpc/ibm.vpc.activity.vpc_change.yaml
ibm.vsi.activity.bare_metal_change,ibm,vsi,vsi,high,IBM: Bare Metal Server Modified or Deleted,"An IBM Cloud bare metal server was modified, stopped, or deleted. Bare metal servers host critical workloads and are hard to replace quickly.",log,impact,impact,T1485,80,impact,modify,workload_posture,ibm_rule_ciem/vsi/ibm.vsi.activity.bare_metal_change.yaml
ibm.vsi.activity.vsi_action,ibm,vsi,vsi,medium,IBM VPC: Virtual Server Action Performed (Start/Stop/Reboot),"A start, stop, reboot, or reset action was performed on a virtual server. Unauthorized stop/reboot disrupts running workloads.",log,impact,impact,T1529,62,impact,delete,workload_posture,ibm_rule_ciem/vsi/ibm.vsi.activity.vsi_action.yaml
ibm.vsi.activity.vsi_created,ibm,vsi,vsi,medium,IBM VPC: Virtual Server Instance Created,A new virtual server instance was provisioned in IBM VPC. Unauthorized instance creation may indicate resource hijacking for cryptomining.,log,execution,execution,T1204,65,compute_and_workload_security,create,workload_posture,ibm_rule_ciem/vsi/ibm.vsi.activity.vsi_created.yaml
ibm.vsi.activity.vsi_deleted,ibm,vsi,vsi,high,IBM VPC: Virtual Server Instance Deleted,A virtual server instance was deleted. Mass instance deletion is a destructive impact technique.,log,impact,impact,T1485,78,impact,delete,workload_posture,ibm_rule_ciem/vsi/ibm.vsi.activity.vsi_deleted.yaml
